Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0A00100,25,27,36,41,43,56
KMXK_0A00110,1946,2423,2850,2958,2960,2517
KMXK_0A00120,11142,12529,14663,16426,14867,12626
KMXK_0A00130,6562,8068,9585,11187,10287,8889
KMXK_0A00140,1462,1752,1969,1791,1699,1512
KMXK_0A00150,13185,15524,17070,17380,15611,14244
KMXK_0A00160,358,390,471,620,497,472
KMXK_0A00170,41,43,53,33,53,55
KMXK_0A00180,1381,1411,1544,1606,1517,1436
KMXK_0A00190,475,682,689,840,811,694
KMXK_0A00200,880,856,1080,1195,1095,942
KMXK_0A00210,2749,3183,3449,3638,3315,3086
KMXK_0A00220,4085,4999,5664,5569,5266,4846
KMXK_0A00230,1045,1085,1091,1144,1144,950
KMXK_0A00240,2501,2674,3205,3167,3173,2693
KMXK_0A00250,2110,2226,2138,2095,1909,1834
KMXK_0A00260,1447,1443,1373,1212,1071,971
KMXK_0A00270,606,704,724,665,629,484
KMXK_0A00280,637,668,793,850,633,635
KMXK_0A00290,1289,1506,1528,1480,1294,1073
KMXK_0A00300,8457,8434,8613,10475,9615,8091
KMXK_0A00310,5443,5399,6103,5950,5790,5247
KMXK_0A00320,1656,1849,2187,2510,2192,1793
KMXK_0A00330,3435,3505,3567,3728,3462,2740
KMXK_0A00340,4561,4968,4625,5108,4654,4362
KMXK_0A00350,596,630,725,804,689,676
KMXK_0A00360,5637,6080,7176,7248,6617,5780
KMXK_0A00370,1988,2095,2234,2212,2062,1791
KMXK_0A00380,12825,14343,12188,8603,5828,3668
KMXK_0A00390,3307,3994,4307,3950,3781,3110
KMXK_0A00400,901,1098,1038,1030,960,687
KMXK_0A00410,1330,1377,1468,1439,1229,1080
KMXK_0A00420,1380,1686,1877,1811,1664,1375
KMXK_0A00430,1183,1308,1280,1431,1432,1205
KMXK_0A00440,910,1071,1251,1491,1378,1248
KMXK_0A00450,5334,5581,6369,7107,6662,6010
KMXK_0A00460,258,291,294,311,283,262
KMXK_0A00470,1286,1694,1897,2011,1999,1670
KMXK_0A00480,3603,4254,5151,5813,5630,4594
KMXK_0A00490,4316,4781,5320,5555,5088,4470
KMXK_0A00500,1726,2151,2215,2295,1966,1817
KMXK_0A00510,3285,3350,2960,2951,2321,1705
KMXK_0A00520,316,289,342,378,355,322
KMXK_0A00530,3042,3413,3984,4183,3968,3567
KMXK_0A00540,15237,17546,19578,20570,19408,16887
KMXK_0A00550,46297,54624,53633,60223,55635,47664
KMXK_0A00560,7108,6551,7885,7666,7536,6462
KMXK_0A00570,10178,12873,15001,15792,14039,11982
KMXK_0A00580,360,368,353,422,383,317
KMXK_0A00590,731,819,901,946,798,686
KMXK_0A00600,2263,2481,2662,2721,2384,1918
KMXK_0A00610,4532,4810,5285,5893,5698,5263
KMXK_0A00620,5021,5836,5909,6535,5917,4990
KMXK_0A00630,1980,2410,2506,2924,2886,2345
KMXK_0A00640,864,1009,976,996,1024,818
KMXK_0A00650,600,862,728,871,825,746
KMXK_0A00660,1907,2352,2738,2949,2554,2222
KMXK_0A00670,2526,2932,3169,3338,3036,2705
KMXK_0A00680,1940,2323,2645,2626,2512,2186
KMXK_0A00690,16250,17780,18282,20357,17499,16400
KMXK_0A00700,13048,17434,17885,20683,17392,15056
KMXK_0A00710,2944,3457,3471,3849,3372,2695
KMXK_0A00720,785,870,987,1123,1053,819
KMXK_0A00730,726,819,874,1085,888,737
KMXK_0A00740,11740,12907,14416,16380,14696,13033
KMXK_0A00750,719,909,915,973,902,821
KMXK_0A00760,28610,31552,36926,47109,47050,40005
KMXK_0A00770,620,586,699,801,651,613
KMXK_0A00780,1065,1347,1275,1629,1505,1330
KMXK_0A00790,5408,5574,6463,7686,7474,6442
KMXK_0A00800,9090,10018,12085,16084,16613,14132
KMXK_0A00810,2305,2237,3049,3624,3481,2956
KMXK_0A00820,4240,4531,5007,5770,5442,4510
