orthoList$OG_IDs[converted]	X	genes	logFC	logCPM	PValue	FDR
OG0002626	2503	YPL092W	-2.43808677950858	6.21613584414359	0.00796815159734356	0.15008985813218
OG0001348	3532	YBR187W	-2.50073729368633	6.28032949317806	0.00754723871308511	0.15008985813218
OG0002568	4743	YEL038W	2.1438294590281	5.43614462105138	0.0079248298071235	0.15008985813218
OG0001316	3218	YMR300C	-2.74970408435961	8.952927355236	0.00725944907642611	0.15008985813218
OG0002047	4681	YKR080W	-2.5060366725243	8.50131818327708	0.00855141661768187	0.15008985813218
OG0001446	5804	YAR015W	-2.87935698696373	9.02632811661664	0.00749806905127812	0.15008985813218
OG0002756	1526	YGL028C	-2.52419754252567	8.56810504006063	0.00746513655093626	0.15008985813218
OG0002371	1524	YGL030W	-2.8301751126506	8.82647314192128	0.0092950398518087	0.15008985813218
OG0000830	2445	YPL152W	1.54817272150699	6.5363612497801	0.00979194256601399	0.15008985813218
OG0002861	1436	YGL123W	-2.4283185000117	9.31199363596331	0.00938554883978512	0.15008985813218
OG0002164	901	YOL032W	3.65735544239901	7.85854346292081	0.00654281831110507	0.15008985813218
OG0001134	1455	YGL103W	-3.23805552021667	6.98183131498371	0.00531965757723945	0.15008985813218
OG0001795	952	YOR018W	1.69016091944437	6.87412005316109	0.00900808918460951	0.15008985813218
OG0001013	1378	YGL186C	-1.57606524729071	7.11726385747434	0.00952022224944566	0.15008985813218
OG0000679	5043	YHR011W	-2.20649294469411	5.73356787685038	0.00698649098460139	0.15008985813218
OG0001974	1056	YOR128C	-2.68615958852359	9.20688347989193	0.00775996377674162	0.15008985813218
OG0002378	3798	YNL178W	-2.74667116989945	9.60691963653998	0.00806323507579334	0.15008985813218
OG0001468	2223	YLR359W	-2.5929124381554	9.53472585036845	0.00844054138308568	0.15008985813218
OG0003530	3028	YMR116C	-3.26565449244348	9.59128014370144	0.00814247821605501	0.15008985813218
OG0000720	1367	YGL195W	-1.70852088395677	7.32494662281835	0.0090601986017169	0.15008985813218
OG0000670	1719	YGR169C	-1.65266840590952	6.04182015622311	0.00895653253953729	0.15008985813218
OG0002978	2174	YLR305C	-1.91225117830947	6.5756737924843	0.00747484826243913	0.15008985813218
OG0001561	548	YDR313C	1.55826304716816	6.36247406143965	0.00934564612504067	0.15008985813218
OG0003293	5754	YAL044C	-2.34327911243403	7.80901067152616	0.00764963429107337	0.15008985813218
OG0003524	645	YDR408C	-1.61948224201373	7.11773324683358	0.00945178637400842	0.15008985813218
OG0001670	1332	YGL234W	-3.64878968209669	9.53555819284211	0.00698268436310108	0.15008985813218
OG0002887	1331	YGL236C	-1.74345928890191	6.4617917580911	0.00918985418846287	0.15008985813218
OG0002594	302	YDR064W	-2.86647687102149	9.59136855206479	0.00869763457697824	0.15008985813218
OG0001650	361	YDR127W	-2.1766693996162	7.53105885263445	0.00739358052458161	0.15008985813218
OG0003344	2261	YLR397C	-1.42507725448615	6.424845050746	0.00994195966387022	0.15008985813218
OG0000880	4358	YJR129C	-2.52129582670918	3.94947805855791	0.00715516018016274	0.15008985813218
OG0002119	4427	YKL182W	-2.70905061566051	9.39142376092761	0.00775567494212351	0.15008985813218
OG0002948	258	YDR019C	-3.6167376228764	7.90632479906466	0.00543840369634874	0.15008985813218
OG0001706	3382	YBR034C	-1.70509865449508	7.35064154541702	0.00980721886587071	0.15008985813218
OG0002685	1613	YGR061C	-2.71867271050372	8.96655248561335	0.00828681558132241	0.15008985813218
OG0003354	3106	YMR189W	-3.89553624540851	7.41192998849884	0.00521132031695568	0.15008985813218
OG0001396	1639	YGR091W	-1.71635074483235	5.47142998663016	0.00899727784474599	0.15008985813218
OG0003242	407	YDR173C	2.36747470119549	5.86013925175631	0.0070436676848225	0.15008985813218
OG0002767	2046	YLR167W	-2.87222676414368	10.6589737318353	0.00905918855888351	0.15008985813218
OG0001685	3983	YNR016C	-2.93596867411044	9.18854214981846	0.0073625734425267	0.15008985813218
OG0002048	4345	YJR116W	1.84926376232079	5.77465850522662	0.0081648883354801	0.15008985813218
OG0003675	4575	YKL029C	-2.70923774410185	8.61533847968484	0.00886657713379285	0.15008985813218
OG0003481	1219	YOR301W	-2.1395547187483	5.04203256381745	0.00798181144640859	0.15008985813218
OG0001138	1938	YLR045C	-1.56384794037937	7.03979941747401	0.0097628031188294	0.15008985813218
OG0003371	1418	YGL143C	-1.55706755348513	5.85294811962879	0.0097583879750232	0.15008985813218
OG0001945	5323	YIL107C	1.7131885610973	7.2697271121523	0.00901144321675779	0.15008985813218
OG0001256	1271	YOR355W	-2.0976521519794	7.59430040341389	0.00807346937790716	0.15008985813218
OG0002010	2651	YPR061C	1.91637237918698	5.5198225031685	0.00849816239878217	0.15008985813218
OG0001407	4883	YER091C	-3.09824567922156	11.6422434606833	0.00899825054691585	0.15008985813218
OG0003147	3268	YBL084C	1.51802473188678	7.10716765138314	0.00977155675590313	0.15008985813218
OG0003110	3266	YBL086C	1.76841751076582	7.38937884392368	0.00933223644021415	0.15008985813218
OG0003370	3259	YBL092W	-2.86818772919486	9.67655504650307	0.00924243340379551	0.15008985813218
OG0001218	4858	YER069W	-1.78250825988951	8.27992441425122	0.00990544003809414	0.15008985813218
OG0002578	3479	YBR133C	-1.82987540327618	6.58900051161746	0.00811472335425125	0.15008985813218
OG0003498	2367	YPL231W	-2.80797371534995	9.4641649938872	0.00788227836995121	0.15008985813218
OG0002336	2593	YPR002W	2.19113887048571	7.55375383139656	0.00920917501455771	0.15008985813218
