gene	condition	significance	direction	P_ref	P_cond	group
KMXK_0F02400	HiT	TRUE	-1	NaN	NaN	3
KMXK_0C03420	HiT	TRUE	-1	NaN	NaN	1
KMXK_0A02940	HiT	TRUE	-1	NaN	NaN	2
KMXK_0C00190	HiT	TRUE	-1	NaN	NaN	2
KMXK_0B03310	HiT	TRUE	-1	NaN	NaN	3
KMXK_0F03060	HiT	TRUE	1	NaN	NaN	4
KMXK_0G00120	HiT	TRUE	-1	NaN	NaN	5
KMXK_0A04050	HiT	TRUE	1	NaN	NaN	3
KMXK_0A04840	HiT	TRUE	1	NaN	NaN	2
KMXK_0F02790	HiT	TRUE	-1	NaN	NaN	2
KMXK_0D03410	HiT	TRUE	1	NaN	NaN	2
KMXK_0A08350	HiT	TRUE	1	NaN	NaN	2
KMXK_0D02960	HiT	TRUE	1	NaN	NaN	4
KMXK_0D01300	HiT	TRUE	1	NaN	NaN	2
KMXK_0A08360	HiT	TRUE	1	NaN	NaN	5
KMXK_0C07260	HiT	TRUE	1	NaN	NaN	2
KMXK_0E02710	HiT	TRUE	1	NaN	NaN	4
KMXK_0A00370	HiT	TRUE	1	NaN	NaN	4
KMXK_0F03310	HiT	TRUE	1	NaN	NaN	2
KMXK_0D01720	HiT	TRUE	-1	NaN	NaN	1
KMXK_0C00140	HiT	TRUE	-1	NaN	NaN	5
KMXK_0D05590	HiT	TRUE	1	NaN	NaN	2
KMXK_0H01000	HiT	TRUE	1	NaN	NaN	1
KMXK_0C07380	HiT	TRUE	-1	NaN	NaN	5
KMXK_0E04050	HiT	TRUE	1	NaN	NaN	1
KMXK_0F05840	HiT	TRUE	1	NaN	NaN	4
KMXK_0H02920	HiT	TRUE	-1	NaN	NaN	4
KMXK_0A01830	HiT	TRUE	1	NaN	NaN	2
KMXK_0A08370	HiT	TRUE	1	NaN	NaN	3
KMXK_0H02210	HiT	TRUE	-1	NaN	NaN	2
KMXK_0E04920	HiT	TRUE	1	NaN	NaN	1
KMXK_0B04400	HiT	TRUE	1	NaN	NaN	2
