Sample Name	stan_1	stan_2	stan_3	temp_1	temp_2	temp_3	pH3.5_1	pH3.5_2	pH3.5_3	KCl_1	KCl_2	KCl_3
Fum	0.45	0.62	0.39	0.64	0.42	0.54	0.75	0.37	0.36	1.18	2.04	1.31
Mal	1.79	3.32	0.91	2.28	2.32	2.54	3.33	0.96	0.78	8.56	10.02	12.25
aKG	0.74	1.42	0.99	3.83	0.41	1.59	3.39	0.78	0.53	3.00	5.29	3.90
GAP	0.19	0.27	0.23	0.47	0.05	0.38	0.37	0.20	0.16	0.24	0.30	0.17
Glc	66.66	33.60	84.63	12.24	15.92	95.34	73.93	22.22	13.81	7.41	19.81	22.29
Cit	73.17	130.70	135.89	119.69	20.61	55.51	231.15	151.38	81.08	107.00	174.87	224.07
iCit	7.94	10.79	12.81	15.10	1.76	10.16	23.19	10.35	7.87	11.29	18.64	28.87
2PG	1.65	1.87	1.22	1.51	0.29	0.52	1.29	0.86	2.01	1.61	1.35	1.70
DHAP	1.24	3.87	1.34	2.78	0.19	2.05	3.67	1.99	1.01	3.25	5.06	3.69
3PG	43.74	94.02	31.51	26.78	3.36	10.62	23.30	38.67	26.77	18.82	16.79	20.01
E4P	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.02
Rib5P	1.01	2.36	1.13	1.19	0.20	0.82	1.65	1.19	1.31	3.74	1.10	1.05
Ribu5P	0.86	1.12	1.07	1.33	0.03	0.40	1.96	0.99	0.66	1.02	1.26	1.13
Xyl5P	0.79	1.08	1.14	1.31	0.08	0.47	1.85	0.91	0.73	0.81	1.21	0.94
F6P	0.61	0.71	1.38	1.46	0.07	0.94	2.24	1.82	1.38	0.84	2.12	1.04
G6P	2.43	3.96	5.15	5.47	0.34	4.45	8.68	9.42	5.82	3.40	8.99	4.78
S7P	28.33	31.78	36.95	22.74	1.32	14.14	56.80	35.59	31.13	35.09	37.82	35.08
Tre	215.32	668.19	343.15	894.65	184.55	1006.93	550.82	190.85	394.14	733.31	695.00	678.36
NAD	11.26	20.47	11.65	10.11	2.21	5.21	13.73	11.96	14.70	15.19	9.59	9.33
NADH	16.86	25.29	10.08	14.52	2.30	5.99	17.78	10.40	24.59	13.73	4.86	4.54
NADP	0.32	0.30	0.41	0.22	0.19	0.41	0.36	0.37	0.33	0.79	0.97	0.66
NADPH	1.46	2.91	2.04	2.04	0.64	1.87	2.65	2.18	2.54	1.89	1.21	1.13
CoA	0.26	0.27	0.26	0.27	0.25	0.27	0.26	0.26	0.27	0.26	0.26	0.26
Ac-coA	0.46	1.49	0.97	0.53	0.23	0.56	0.76	0.45	0.91	1.68	1.28	0.88
FAD	0.71	0.85	0.71	0.95	0.46	0.61	0.98	0.60	0.95	0.96	1.06	1.20
FBP	2.705	14.189	5.362333333	4.795	0.615666667	13.26933333	8.635333333	12.41833333	3.218333333	9.445	8.267333333	17.872
PEP	4.240333333	4.218	3.512333333	4.256333333	0.538333333	0.630333333	3.794333333	1.855	6.008333333	5.062	5.032333333	5.561333333
Malate	1.200333333	2.738666667	0.380666667	1.873666667	1.988333333	1.995	2.679666667	0.444666667	0.192	7.852	9.257	11.51166667
G1P	0.369	0.921666667	0.285666667	0.454333333	1.278666667	1.724	0.51	0.42	0.613333333	1.577666667	3.311666667	1.119
6PG	3.795333333	4.340666667	3.8	2.992666667	0.162	0.951333333	3.414666667	4.586	17.69066667	2.627666667	2.263333333	2.028
T6P	0.107333333	1.148666667	0.600333333	1.500666667	0.449666667	2.372	1.175333333	0.802333333	0.534333333	0.781	0.806666667	0.562
G3P	0.416	1.982666667	0.584	1.069333333	0.030333333	4.113333333	3.613666667	1.070666667	0.213333333	7.990333333	7.33	4.343333333
UDP-Glc	3.532666667	8.678666667	5.922	3.493	0.675	5.593	6.526333333	5.456	4.823	5.531333333	5.415333333	5.729
AMP	1.374	12.13633333	0.968	0.642	3.703	0.676	1.065333333	1.095666667	0.465666667	11.50566667	1.965666667	1.733
ADP	6.00	13.35	3.71	3.02	2.65	2.98	4.19	4.05	5.83	11.02	6.89	6.89
ATP	14.01433333	17.726	21.06433333	17.21333333	2.532333333	23.724	27.72866667	20.997	26.17666667	24.29433333	38.38766667	40.02733333
UMP	0.386666667	1.925	0.565	0.601	0.055	0.1285	1.5195	0.139	0.148	3.551	0.9845	0.971
UDP	0.657666667	1.9	0.176666667	0.233333333	0.17	0.185	0.291333333	0.303333333	0.372666667	0.975666667	0.474666667	0.416
UTP	2.241333333	3.314	2.923666667	2.737333333	0.166666667	3.153333333	5.147	3.397	3.501666667	3.041	5.152333333	3.966333333
GDP	0.765666667	2.032666667	0.587666667	0.518	0.58	0.632666667	0.694666667	0.602	0.753333333	1.973	0.734333333	1.155666667
GTP	3.104666667	3.818333333	4.226	3.663666667	0.426666667	4.551666667	5.526333333	4.171	5.527	4.717666667	6.477	7.438666667
CDP	0.461666667	0.873	0.379	0.307666667	0.366666667	0.421666667	0.378	0.346666667	0.498	0.661666667	0.400666667	0.373
CTP	0.519	1.314	0.8675	3.461	0.091	1.0045	2.712666667	1.681333333	1.613	3.352	0.5365	2.614666667
