Sample	standard	standard	standard	standard	32C	32C	32C	pH3.5	pH3.5	pH3.5	pH3.5
Fum	0.34	0.29	0.27	0.27	0.35	0.34	0.33	0.26	0.25	0.26	0.31
Mal	1.74	1.80	2.21	2.64	2.92	2.83	2.29	0.84	0.78	1.03	0.93
aKG	0.66	0.76	0.64	0.79	0.85	0.80	0.81	0.63	0.83	0.91	0.73
GAP	0.12	0.13	0.10	0.11	0.13	0.10	0.09	0.08	0.11	0.13	0.10
Glc	4.36	1.82	1.21	0.86	2.25	4.09	0.63	1.51	0.77	0.36	0.88
Cit	22.10	24.59	16.10	19.22	41.25	41.03	43.72	25.62	28.18	29.39	22.05
iCit	1.37	1.48	0.92	1.10	1.07	1.18	1.26	1.38	1.87	2.02	1.71
2PG	1.88	1.99	1.76	1.86	1.45	1.53	1.43	0.96	1.19	1.33	0.93
DHAP	0.31	0.50	0.43	0.63	0.81	0.81	0.76	0.38	0.48	0.60	0.30
3PG	17.59	18.79	16.12	17.91	12.52	13.72	12.81	9.94	11.58	12.58	10.28
E4P	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.03
Rib5P	2.64	2.86	2.12	2.66	2.38	2.45	2.51	1.90	2.46	2.65	2.07
Ribu5P	0.30	0.34	0.38	0.65	0.52	0.54	0.55	0.51	0.67	0.71	0.41
Xyl5P	0.45	0.60	0.51	0.94	0.88	0.91	0.87	0.72	0.93	1.08	0.65
F6P	3.53	4.25	3.43	4.91	4.03	4.45	4.41	2.65	3.84	4.14	2.53
G6P	16.67	20.31	15.05	20.07	15.68	16.43	16.90	11.74	16.44	17.30	12.37
S7P	7.75	8.94	7.08	9.12	8.08	7.11	7.24	10.10	11.62	12.97	9.84
Tre	0.90	1.13	0.84	1.31	4.04	3.55	4.08	0.98	1.11	1.16	0.79
FBP	1.11	1.22	0.81	0.90	0.74	0.79	0.85	1.01	1.45	1.41	1.46
PEP	5.55	6.44	6.43	7.43	6.07	6.70	5.79	3.35	3.99	4.54	2.91
G1P	0.69	0.93	0.60	0.83	0.67	0.78	0.76	0.52	0.70	0.78	0.52
6PG	5.14	5.18	3.50	4.48	1.40	1.75	1.46	5.80	7.15	7.79	8.41
T6P	0.10	0.10	0.06	0.09	0.20	0.22	0.23	0.01	0.01	0.04	0.01
G3P	0.07	0.12	0.05	0.04	0.14	0.17	0.12	0.06	0.06	0.09	0.06
UDP-Glc	18.46	19.66	13.92	16.36	15.20	16.13	15.73	13.50	15.14	15.68	15.26
Mannitol-1P	0.86	1.12	1.01	1.23	2.15	2.03	1.99	0.24	0.32	0.37	0.19
AMP	8.15	8.42	5.33	5.95	4.11	5.99	3.54	7.23	9.73	10.15	7.56
ADP	16.74	19.30	14.89	16.78	19.23	18.52	17.80	13.35	16.55	15.31	15.44
ATP	47.24	51.51	38.23	42.13	46.01	46.08	50.07	29.58	38.82	41.03	34.38
c_AMP	0.23	0.32	0.11	0.12	0.17	0.19	0.07	0.27	0.58	0.04	0.00
UMP	1.79	1.45	0.58	0.54	0.14	0.75	0.51	1.33	1.41	1.50	1.74
UDP	1.33	1.45	1.26	1.38	1.26	1.32	1.24	1.19	1.30	1.45	1.37
UTP	8.04	8.13	6.84	6.47	7.83	6.56	7.61	6.34	7.00	7.81	7.47
GMP	3.68	3.70	1.55	2.07	1.24	1.92	1.38	3.13	4.07	4.72	4.28
GDP	1.44	1.56	1.26	1.21	1.38	1.50	1.34	1.30	1.28	1.34	1.18
GTP	13.13	9.96	9.14	12.24	10.55	10.70	10.70	8.24	9.92	11.77	9.96
CMP	2.36	3.28	0.00	2.43	0.80	1.03	1.15	2.41	2.27	1.95	1.90
CDP	1.07	0.82	0.89	0.77	0.67	0.85	0.93	0.54	0.83	0.72	0.69
CTP	4.09	5.35	3.65	2.24	4.47	3.80	4.55	5.27	5.69	5.85	5.81
