"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"LowpH_D"	"standard_A"	"standard_B"	"standard_C"	"standard_D"	"Top.Protein.Description"	"Chassy_ID"	"W29_NCBI"	"CLIB122_NCBI"	"CLIB122_UNIPROT"	"Protein_name"	"ec_number"
"a1.a1.a1"	1575.05200030619	1749.32767100525	974.156878109339	1325.05451551942	1085.75746981087	1393.64382289225	1123.21763496519	1203.82913954039	89.5275744296919	547.82569508553	986.432578082642	"Chassy_YL_F_1264;YALI1_F32597g;YALI0F25289g1_1;Q6C0E9;uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	"Chassy_YL_F_1264"	"YALI1_F32597g"	"YALI0F25289g1_1"	"Q6C0E9"	"uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	""
"a1.a2.a1"	3954.72845989254	2789.75238945657	1818.75864624184	907.329820249444	915.866834314363	1375.21227228353	676.464204262045	3117.26229709963	365.786350607546	1901.50930921744	3042.06491469588	"Chassy_YL_D_405;YALI1_D10458g;YALI0D08184g1_1;Q6C9V0;uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	"Chassy_YL_D_405"	"YALI1_D10458g"	"YALI0D08184g1_1"	"Q6C9V0"	"uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	""
"a1.a3.a1"	1281.80767515412	1829.37856152515	1405.77476344155	364.322019941268	513.602452127923	320.875579431479	363.938850547788	1352.14019771227	102.404683401649	1352.68974637347	1036.6164855587	"Chassy_YL_D_1098;YALI1_D28273g;YALI0D22352g1_1;Q6C864;uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	"Chassy_YL_D_1098"	"YALI1_D28273g"	"YALI0D22352g1_1"	"Q6C864"	"uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	""
"a1.a4.a1"	56259.342808336	67854.434298399	50286.3705372653	58863.5837920837	33596.0598029575	37719.4084984151	40967.7287296665	43096.9972568097	17997.6812253333	33846.0406992618	34589.1109641512	"Chassy_YL_C_888;YALI1_C24707g;YALI0C17347g1_1;Q6CBM2;uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	"Chassy_YL_C_888"	"YALI1_C24707g"	"YALI0C17347g1_1"	"Q6CBM2"	"uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	""
"a1.a5.a1"	29416.0369655905	31477.847365649	25849.2901585763	33600.1412887598	24534.1936127556	27681.1685754564	29536.4441031327	31123.1524972531	14533.882157788	24592.5040574	26485.3400018445	"Chassy_YL_A_5;YALI1_A00102g;YALI0A00132g1_1;Q6CIA7;uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	"Chassy_YL_A_5"	"YALI1_A00102g"	"YALI0A00132g1_1"	"Q6CIA7"	"uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	""
"a1.a6.a1"	15.1906276346692	7.69437643989566	6.61035009509717	2.50265587294294	3.92421061958667	2.61416965430682	NA	4.342208671068	5.9415804032151	NA	5.70933843734599	"Chassy_YL_A_906;YALI1_A22539g;W29 specific;No Uniprot ID;No description in CLIB122"	"Chassy_YL_A_906"	"YALI1_A22539g"	""	""	"No description in CLIB122"	""
"a1.a7.a1"	21856.8216274493	24206.2321949088	18481.3270778979	25382.8596768241	14622.6195800663	19841.4159183003	22941.5667398175	15162.6996694396	4238.95249404184	13682.0125841119	12212.0927395527	"Chassy_YL_E_648;YALI1_E16731g;YALI0E13706g1_1;Q99170;uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	"Chassy_YL_E_648"	"YALI1_E16731g"	"YALI0E13706g1_1"	"Q99170"	"uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	""
"a2.a1.a1"	164306.948188615	159620.887173521	95048.5153960395	292998.574760411	248848.54789505	282002.450378631	222498.345411455	196465.054044314	130485.610600061	130468.89017082	182108.586008692	"Chassy_YL_C_302;YALI1_C08262g;YALI0C06369g1_1;Q6CCU7;uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"Chassy_YL_C_302"	"YALI1_C08262g"	"YALI0C06369g1_1"	"Q6CCU7"	"uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"1.2.1.12"
"a4.a1.a1"	217253.192375368	199027.048751594	167728.704906143	208671.060260563	145835.886759787	158830.500702677	149203.442444154	202668.839896419	148303.665843266	148591.425282517	191592.143422455	"Chassy_YL_F_865;YALI1_F22436g;YALI0F16819g1_1;Q6C1F3;uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"Chassy_YL_F_865"	"YALI1_F22436g"	"YALI0F16819g1_1"	"Q6C1F3"	"uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"4.2.1.11"
"a4.a2.a1"	118.138084799637	131.929403633861	110.723279903547	23.2736586303693	17.6308866507376	32.0498926688602	22.4856179522388	99.0647041804013	84.7945374849718	68.8072573173463	43.9367005774588	"Chassy_YL_E_404;YALI1_E10587g;YALI0E08756g1_1;Q6C6K7;uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	"Chassy_YL_E_404"	"YALI1_E10587g"	"YALI0E08756g1_1"	"Q6C6K7"	"uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	""
"a5.a1.a1"	75711.2510525332	59481.6375033322	52867.4574037074	47474.6225396973	42317.2396208701	45045.7558808967	43944.494515714	57011.0094470553	32798.9598324158	47162.9630932875	50774.1479200491	"Chassy_YL_F_20;YALI1_F00654g;YALI0F00484g1_1;Q6C3E1;uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase"	"Chassy_YL_F_20"	"YALI1_F00654g"	"YALI0F00484g1_1"	"Q6C3E1"	"uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase"	""
