"","genes","logFC","logCPM","PValue","FDR"
"4","CENPK1137D_3804",3.710668541749,11.5369158268718,2.22003789169011e-254,3.31007649650995e-251
"26","CENPK1137D_4473",3.4471065445441,9.85078910887298,1.96497117547874e-220,1.4648860113194e-217
"7","CENPK1137D_5141",3.07512161666619,7.52790280196939,2.98766531125563e-166,1.48486965969405e-163
"15","CENPK1137D_3141",-3.11370457782376,10.673736778081,4.74888432703523e-131,1.77014663290238e-128
"8","CENPK1137D_5411",-2.65209241116109,8.16435003641145,1.27314833397873e-118,3.79652833192458e-116
"16","CENPK1137D_3054",2.75145918415845,7.5327345327035,2.12132331176438e-115,5.27148842973448e-113
"19","CENPK1137D_203",3.61808607249111,10.3970271117825,1.40554803904852e-108,2.99381732317335e-106
"43","CENPK1137D_3646",-2.06270552272623,7.98239884372888,3.33448130808482e-107,6.21463953794309e-105
"111","CENPK1137D_1962",-1.91987836239408,10.6172763604729,1.99268780647076e-106,3.30121946605323e-104
"6","CENPK1137D_382",1.85877776799888,9.67760938861539,4.41542400327349e-102,6.58339718888077e-100
"34","CENPK1137D_4663",1.92771289648797,8.70499588615453,7.56558530869277e-99,1.02548069956917e-96
"5","CENPK1137D_2246",-2.25088652527618,10.4867104181517,5.18550431845509e-95,6.44298911568044e-93
"80","CENPK1137D_1993",2.46481795415531,8.96032075135993,4.25063136246868e-94,4.87514720110831e-92
"70","CENPK1137D_5249",1.65152868148589,11.3385327651652,1.06851230587021e-91,1.13796560575177e-89
"17","CENPK1137D_1304",2.56290246633013,6.8208263961556,9.58358431012908e-89,9.52608280426831e-87
"154","CENPK1137D_1902",-2.53649635961633,8.58636434600811,5.82526400602053e-87,5.42841789561038e-85
"33","CENPK1137D_1851",-1.78919825994999,8.83492786173473,3.27850031343638e-85,2.87543762784332e-83
"46","CENPK1137D_2676",1.44796254214046,13.654187107982,3.66566990888049e-83,3.03639657452267e-81
"30","CENPK1137D_138",-2.47819485916881,7.87925745163819,4.20816489166949e-82,3.30230202814695e-80
"9","CENPK1137D_1055",-2.25033831164339,10.0533703805833,2.33791504115075e-75,1.74291566317788e-73
"12","CENPK1137D_2677",-2.45250635420847,7.03853323308784,1.73430895140439e-74,1.23135935549712e-72
"239","CENPK1137D_3469",2.16969578102706,7.7040692442386,1.11356191025693e-73,7.54691276451401e-72
"157","CENPK1137D_3368",-2.71800368432086,13.1941150677931,2.13071462337997e-73,1.38125891454763e-71
"18","CENPK1137D_1111",2.19295995487552,7.67790023699059,1.38614878719074e-67,8.61144934042246e-66
"2","CENPK1137D_3477",-1.76101724164921,7.84019532432823,4.80997262938962e-67,2.86866767616797e-65
"58","CENPK1137D_1665",-2.0741708670167,7.36661967428106,8.76528183367697e-66,5.02655200538937e-64
"27","CENPK1137D_2071",1.91909253550492,7.91969123850851,8.78502446709875e-63,4.85128573349786e-61
"40","CENPK1137D_5102",-1.43445302483128,8.92114836117404,1.13364483549901e-62,6.03665874903223e-61
"11","CENPK1137D_1",2.02052568140152,9.82494482600346,1.36383600465538e-62,7.01199821703852e-61
"82","CENPK1137D_1389",-1.47092099892244,9.31949559790874,5.51723287376084e-62,2.74206473825914e-60
"49","CENPK1137D_2766",1.30378919628217,9.37139896304867,1.6042373057058e-61,7.71586394453983e-60
"97","CENPK1137D_3854",2.47451008008967,9.09013727453884,3.16388761130141e-61,1.47417388389075e-59
"23","CENPK1137D_3841",-1.35831030810968,8.99041169857482,3.81764501758853e-58,1.72488143067409e-56
"36","CENPK1137D_5134",-1.66664781126903,8.53526588935894,4.18858404737672e-56,1.83681729842315e-54
"55","CENPK1137D_2712",2.38561512586496,5.98049804421202,3.58349431329832e-55,1.52656857746509e-53
"10","CENPK1137D_673",-1.13378090416026,10.2603209241563,3.40473869189196e-52,1.41012927489192e-50
"162","CENPK1137D_208",-3.04648660814847,6.49906907587344,4.6108164381313e-52,1.85803440790642e-50
"195","CENPK1137D_1528",-1.66752354353925,7.83610581366681,1.94065734359001e-49,7.61452657708605e-48
"28","CENPK1137D_25",1.59143012180099,7.77643344139013,9.59869107761631e-47,3.66965343505793e-45
"134","CENPK1137D_3622",-2.55968690803124,9.64587948594374,3.01396647459344e-46,1.1234560034047e-44
"69","CENPK1137D_3146",-1.30716068871477,10.8241740153191,3.76574456932752e-45,1.36944515923594e-43
"392","CENPK1137D_4346",-1.52073839662528,8.81979608180075,1.52317167062853e-41,5.4072594307313e-40
"276","CENPK1137D_899",-1.35623543698465,7.15121096676934,2.22944643104304e-41,7.7304758806632e-40
"59","CENPK1137D_1444",-1.22261624868998,9.33185632284362,2.30747082303347e-41,7.81917953896116e-40
"32","CENPK1137D_2642",1.38162062199222,10.2670102490541,3.81594481180575e-41,1.26434971431164e-39
"54","CENPK1137D_206",1.90047881965119,8.20066201249614,1.80520492201473e-40,5.8512185624434e-39
