,logFC,-log10Pval
KMXK0B04700,-2.52020616476957,10.0168322562124
KMXK0B02730,-2.94707351181428,8.37186312920248
KMXK0F00530,1.94266984146656,6.10375765166534
KMXK0E02560,2.55811717472666,5.95798611320147
KMXK0A06440,-2.3892973415828,5.71389415148749
KMXK0G03470,1.86449833728923,5.13145785471859
KMXK0E03010,1.98224366662853,4.81973314702116
KMXK0B02970,1.6226102743956,4.56087676589312
KMXK0F01270,1.64654767157612,4.51702860045267
KMXK0F05650,1.71708733902329,4.51641254442795
KMXK0E00880,2.15294134973071,4.46137098909155
KMXK0H00770,-1.83316137546627,4.44435599093752
KMXK0H01120,-1.69857894804227,4.41406790560073
KMXK0B05880,1.84028290911249,4.38168493384286
KMXK0B02910,-1.74042038500443,4.36700377326521
KMXK0G02750,-2.26334952108718,4.35733193232417
KMXK0A04010,1.82129986444678,4.31418001832801
KMXK0F04380,1.60933148495532,4.31418001832801
KMXK0C06300,-1.73851132730148,4.31418001832801
KMXK0F05000,1.6513174670461,4.31418001832801
KMXK0D05580,-2.00172673062878,4.31418001832801
KMXK0G01390,-1.78351712560849,4.22821797870029
KMXK0E02330,1.63112069392355,4.19069865618727
KMXK0C05530,1.58297908522223,4.17140290123331
KMXK0B01630,1.83118144946712,4.16862017557395
KMXK0A06960,-1.58140588695437,4.10963996402399
KMXK0E02060,-1.52494228757747,4.07183495993184
KMXK0H03480,-1.96648609752354,4.04848513731849
KMXK0B02080,1.51676108007827,4.04848513731849
KMXK0B05040,-1.5873500409939,3.98143698453613
KMXK0H03160,1.66158436465862,3.98143698453613
KMXK0B03200,-1.53957450545621,3.92418946037428
KMXK0C03590,2.08445119607462,3.87510480587755
KMXK0G03150,2.11963344100968,3.76019631987036
KMXK0H00280,1.50321356702357,3.73790537367529
KMXK0G02240,2.0210842638478,3.73790537367529
KMXK0C03650,1.75365176994721,3.73334356904462
KMXK0G03550,-1.45716819590319,3.71667236774713
KMXK0A08010,1.53553072782614,3.71667236774713
