genes,logFC,logCPM,PValue,FDR
KMXK0F03890,3.01942668371326,10.7370982681643,2.26341763563889e-20,1.90806106684359e-17
KMXK0E02630,-2.90034556458482,9.56265009853616,1.62365357201607e-13,4.32460379020673e-11
KMXK0E03660,-5.26167010400035,10.2031976510595,1.64684779095088e-13,4.32460379020673e-11
KMXK0A06760,2.63786230571011,10.5447301335961,2.05200654339584e-13,4.32460379020673e-11
KMXK0E03750,2.47401356093518,9.68737398517079,1.58223990438918e-11,2.66765647880015e-09
KMXK0H04290,-3.01143753111682,9.3090935219584,2.0598350534672e-10,2.67820721671236e-08
KMXK0B07870,-2.27705982035992,9.93879079234828,2.22389685848001e-10,2.67820721671236e-08
KMXK0H04430,-2.03639766276363,10.5485755094579,1.17664658883832e-09,1.23989134298838e-07
KMXK0B06870,1.90153921399969,7.54635923267374,1.58808752820051e-09,1.48750865141448e-07
KMXK0D03890,1.62770299553158,9.44116582143115,5.53178213101415e-08,4.66329233644493e-06
KMXK0B05960,1.58222044888677,8.11511395968374,1.42219952817463e-07,1.08992200204655e-05
KMXK0B00390,1.89043231472487,13.6216251422423,1.91546699401134e-07,1.34561556329297e-05
KMXK0D05930,1.92664127138173,8.21213154339267,2.392990750338e-07,1.55176246348841e-05
KMXK0D01720,-1.69660745136806,10.6131579191466,4.81874495821615e-07,2.90157285698301e-05
KMXK0A06250,-2.96441369045887,9.21744571145771,1.98410606728647e-06,0.000111506760981499
KMXK0D02270,1.57697662160957,7.78345191401384,4.04856235643133e-06,0.000200784299473594
KMXK0A05260,1.33369187294735,11.7676988833789,4.04903095023855e-06,0.000200784299473594
KMXK0G03730,1.38204599704766,9.11532708637328,4.74178471062861e-06,0.000222073583947773
KMXK0B00180,-1.91992179370277,10.4407214561347,6.02748453272425e-06,0.000267429971636134
KMXK0F00380,1.29053719978016,11.1187979426918,1.43429455487733e-05,0.000589982507325343
KMXK0C01370,2.05801650987873,9.99052792997255,1.46970731362185e-05,0.000589982507325343
KMXK0A06690,-1.22531054728021,7.64852448840896,1.96585808267806e-05,0.000753281074408003
KMXK0E05330,1.34219887443188,9.5608321044261,2.07490894489042e-05,0.000754648223928857
KMXK0C03640,-1.20606400088455,8.00383733798483,2.14846469445938e-05,0.000754648223928857
KMXK0D01320,1.37822476268086,10.307458256308,2.25559018359839e-05,0.000760585009909378
KMXK0B05840,1.27214126465564,11.2025024592404,2.76175067258972e-05,0.000863942507585933
KMXK0E01660,1.87250282685565,9.08577343073062,2.94414414828326e-05,0.000863942507585933
KMXK0D04930,1.38343217316423,8.10362007051645,2.9447171399943e-05,0.000863942507585933
KMXK0C04080,1.17831828040367,9.1444341018906,2.97204421352219e-05,0.000863942507585933
KMXK0C05770,2.05702902371805,11.1039657538768,3.78355530750584e-05,0.00105722534193042
KMXK0E04230,1.41196181282041,9.81118524560797,3.89151593309058e-05,0.00105722534193042
KMXK0G00460,-2.14602383211436,7.89588784903356,4.01319228253538e-05,0.00105722534193042
KMXK0H04420,-1.54618724430989,9.98215223517247,4.51667105185547e-05,0.00115380415051944
KMXK0E04110,1.37632200235362,9.81373164902853,5.00520134387039e-05,0.00124099550967139
KMXK0C02060,-1.27104006369885,8.60418364707545,5.39872039714625e-05,0.00130032036994123
KMXK0B02720,-1.26267175331976,8.54790083405539,5.71630304716421e-05,0.00133856763021095
KMXK0H03340,-1.31252008447112,8.44992731106817,6.1524729387787e-05,0.00140176613172715
KMXK0H00100,-1.31525694910008,8.57039479721733,7.13505050625802e-05,0.00158285462546724
KMXK0A01850,-1.61918009685562,7.36660264518559,8.91928489304497e-05,0.00192793773457357
KMXK0F04580,-1.50751847322803,8.18942555244308,9.21200769228114e-05,0.00194143062114825
KMXK0D01210,1.20605246707633,7.79636792563008,0.000112249369172672,0.00230795654176982
KMXK0B00860,1.09685635967474,7.09260561081861,0.000123310872076299,0.00242091376186745
KMXK0E04920,2.95127456229347,10.8408835750651,0.000123486704341993,0.00242091376186745
KMXK0F00490,1.25124879430254,7.35840715413478,0.000133425727837726,0.00255631564925462
KMXK0E04960,1.22884311395518,10.0357775182378,0.000144483478425871,0.00270665716251131
KMXK0C07290,-1.06398875158162,9.12349575097873,0.000152323709827886,0.00279149755184583
KMXK0G01820,1.07436828859317,9.33645167259421,0.000172732854487369,0.00309816587942238
KMXK0A04730,-1.55604091337636,9.00479996252609,0.000289022369081418,0.00491897350855198
KMXK0F03040,1.15181837657304,10.5217440804011,0.000290070845913881,0.00491897350855198
KMXK0B01800,-1.31902518287208,8.98736165840802,0.000291754063377935,0.00491897350855198
KMXK0A01630,-1.04774104715767,10.7959319916672,0.000302800441663607,0.00500511318279257
KMXK0E06260,1.1163257161901,9.13854046298305,0.000326973639966071,0.00523722280127807
KMXK0C02820,-1.41279117596809,11.3966358694372,0.000354771321021721,0.00550680809028284
KMXK0D03920,1.14632242214664,9.82726611834078,0.000359281666625808,0.00550680809028284
KMXK0B00330,1.16284307078921,7.17401134107906,0.000380252004431533,0.00572415070956754
KMXK0E02400,1.34723637854243,8.70601232690708,0.000394199488501057,0.00583000296151563
KMXK0E03200,1.21731090079201,11.0567134907896,0.000567691328089987,0.00804803174322505
KMXK0B01680,-1.09030576131301,8.34464464519275,0.00057175048373363,0.00804803174322505
KMXK0D02420,-1.02072964838065,9.90455376057083,0.00057281364720463,0.00804803174322505
KMXK0F03710,1.00528744480995,9.94742943828912,0.000706762011575715,0.00960968347997302
KMXK0D01380,-1.24025052815361,9.67490171101176,0.000745266053765563,0.0099723695765773
