genes,logFC,logCPM,PValue,FDR
YAL062W,2.34168001614803,5.77166756717039,8.78852222672066e-74,1.14865985503239e-70
YGR088W,1.53826915784637,5.97135664214074,2.36871553074612e-34,1.54795559934259e-31
YMR116C,-1.48090428534138,9.76637081842383,6.44351444689579e-30,2.8072244606976e-27
YOL127W,-1.22336515705979,10.9622616650013,2.3028365903098e-24,7.52451855883727e-22
YDR226W,-1.05486279781902,11.6763901953615,3.35844390312065e-22,7.96859673157525e-20
YML128C,1.81344282759442,5.69376556939747,3.6581163266604e-22,7.96859673157525e-20
YNL015W,2.8157204854421,9.39793420820076,7.04918038944451e-22,1.18539077963829e-19
YDR533C,1.13247960862152,8.14846002081593,7.25564363971412e-22,1.18539077963829e-19
YLL023C,1.11784117211008,8.01155355484342,1.3894071241043e-21,2.01772790133814e-19
YDR502C,-1.32976654264928,11.2685339230224,2.33922344690044e-21,3.05736504509887e-19
YNL005C,-1.19573088293195,4.09527648133079,8.51742140640719e-21,1.01202452528856e-18
YLR303W,-1.17779615446516,6.44948908156389,4.0547003191542e-19,4.41624443094545e-17
YKL080W,-1.18472946707759,8.76192988150414,6.76189400056729e-19,6.79830419903188e-17
YLR325C,-1.31967179494195,9.57416374282865,4.12940483355329e-16,3.85509436961011e-14
YBR145W,-2.31720266858708,11.499831484086,5.03105773028379e-16,4.38372830232061e-14
YPL117C,-1.44615794845248,5.93519751642118,7.18565666570662e-16,5.8697832887991e-14
YJR010W,-1.02682159003976,6.44416307149613,1.71241869329034e-15,1.31654778360616e-13
YGR155W,-0.997886546515946,8.6132549816918,3.70582124251013e-15,2.69083797997819e-13
YGL062W,-0.942296212407634,3.9724197916562,5.78454868176472e-15,3.97916059319289e-13
YKL152C,-0.948360807186114,12.3187772026857,1.00226060281104e-14,6.54977303937012e-13
YPL171C,0.914343492785388,7.72783615815177,1.60644782677424e-14,9.99822528378061e-13
YNL274C,0.907205421217944,8.91603380865673,9.79446105132693e-14,5.81880027003832e-12
YDR224C,-1.39061118276718,8.99487006613643,3.91267889207032e-13,2.22342230953735e-11
YJR125C,0.948028514990864,6.38762287086517,4.88686059140638e-13,2.66130283040339e-11
YCL026C-B,0.881541383463193,9.0705457182945,5.36323964290021e-13,2.80390168530823e-11
YOR375C,0.858878127136611,11.2615434851865,6.04508907243831e-13,3.03881977602957e-11
YNR034W-A,0.878902300240976,10.5763259755499,6.27814527678723e-13,3.0390873617633e-11
YNL247W,-0.910702203672304,4.14235149086599,1.4062324028768e-12,6.56409196628565e-11
YFR050C,-1.11867894160075,7.85429430247102,2.07138972467066e-12,9.33553920739499e-11
YGL097W,-0.955021712944405,6.08758702478224,3.3308231306531e-12,1.41557861103666e-10
YOL084W,-1.53382362612943,7.11768273899769,3.35753151814357e-12,1.41557861103666e-10
YJR077C,-0.992073968203002,9.64914723282584,3.60616124468315e-12,1.47289148337527e-10
YHL034C,-0.952875557921141,5.66937924435621,4.47422001766403e-12,1.77206229184451e-10
YBR283C,1.20471094425055,5.53170027616684,4.8021463364539e-12,1.84600154757213e-10
YBR039W,-1.00464691642134,9.95958609923882,6.21696826666479e-12,2.32159357843739e-10
YML024W,0.839355853014601,8.36661974139092,6.90305810803142e-12,2.50619359644363e-10
YLR044C,-1.07712430864581,8.88011825205227,8.10355828543095e-12,2.86252721055628e-10
YMR011W,-0.982963123731738,8.18304177779192,1.24199532357033e-11,4.27181023133268e-10
YNL208W,0.939072822318664,12.8891310569852,1.33891126853888e-11,4.48706930251362e-10
YGR054W,-0.825042578927718,5.94343382023064,1.39263212192835e-11,4.5504254584009e-10
YOR261C,-1.10163846943534,5.38858676086698,1.91856312081213e-11,6.1160048753694e-10
YDR231C,-0.926230467794043,9.11299272780169,2.09904753107257e-11,6.53203600740918e-10
YDL171C,0.799792680393797,4.26957442391912,2.47630463288268e-11,7.52681431436665e-10
YIL074C,-0.944813920884565,8.80085480062531,2.79702808167965e-11,8.30844477898931e-10
YLR348C,0.831667083376363,7.99173381056669,3.62480269201835e-11,1.0395278111383e-09
YMR203W,-1.99804252653542,5.6077203338299,3.65862886858162e-11,1.0395278111383e-09
YLR300W,-0.744312174967139,6.42501420565825,4.90002390194747e-11,1.3626236680522e-09
