genes,logFC,logCPM,PValue,FDR
YDL022W,3.68065721068746,11.867282947073,2.79916166849087e-196,3.65850430071757e-193
YCL026C-B,3.41669874726294,11.1093046339601,7.43072589416633e-147,4.8559793718377e-144
YIL162W,3.04567583244497,7.28310504258445,1.57382575522756e-138,6.85663420694139e-136
YGR175C,-3.13994929730238,9.77019890635573,3.35400629823613e-121,1.09592155794866e-118
YGR088W,2.71716889959957,6.92763419127565,1.40224171886345e-82,3.66545985310906e-80
YMR107W,-2.5081466361007,8.29550205497815,3.77793052397411e-81,8.22959199139026e-79
YOR230W,-2.27987321338135,9.59399368989332,6.77267239444385e-81,1.26455468850544e-78
YOL151W,2.43574924218133,9.21871084107849,1.65106426185457e-80,2.6974262378049e-78
YFL014W,-2.74631130875043,13.9225267808977,4.86189000356523e-75,7.0605447051775e-73
YHR018C,-2.68174210736198,7.34807718345687,1.81856450906496e-73,2.37686381334791e-71
YML070W,1.82793259541615,9.14905718280751,1.95804478004293e-68,2.32651320683282e-66
YOL143C,1.88724373368688,9.2109695048405,6.26890752476602e-68,6.82788511239099e-66
YBR117C,1.89642430617426,7.78608801613594,3.60391548153745e-65,3.62332118028419e-63
YEL011W,-2.0956850125995,6.16104080324991,2.19446265742106e-64,2.04868763803524e-62
YJR009C,2.52939421140289,7.10674540452849,2.77592858247565e-63,2.41875910486378e-61
YOL058W,-1.95094161255272,9.9889485620466,4.37652843135248e-63,3.57507666236106e-61
YER062C,2.13553047010278,8.5302895430866,3.5929180050598e-61,2.76231990153715e-59
YPL223C,-2.57126457436141,9.1529612759563,3.91217043949256e-61,2.84067042467598e-59
YMR175W,-3.08353894549443,7.75268290571987,2.01442755722443e-57,1.38571411436438e-55
YER069W,-1.79008032403765,6.15107720764443,3.93186519432395e-57,2.5694739044907e-55
YDL168W,1.76521863053575,5.91972618414911,8.53317048363709e-55,5.31088277243509e-53
YLR327C,-1.90274328622266,7.7728963622768,1.2742042615886e-52,7.56993168134684e-51
YHR104W,1.61927049282298,11.3059194708592,7.28708542598771e-50,4.1409655007678e-48
YNR001C,1.41807460356719,13.1212059441703,2.20791385585504e-49,1.20239308733439e-47
YKR046C,-2.28357153340137,9.50862382695392,2.86487225535545e-49,1.49775521509983e-47
YDR055W,-1.59845819725784,8.51860503245535,1.09062696126024e-48,5.47821091589198e-47
YPR160W,-1.82241448027434,6.64957799359954,1.13168855951862e-48,5.47821091589198e-47
YPL036W,-2.10720519228989,5.10955302186954,1.34410541612393e-47,6.27409206740706e-46
YNR002C,-2.48554905074181,6.4533744139326,2.69591507155196e-47,1.21502103397186e-45
YOR369C,-2.20232615004093,8.59041532714556,3.61800003699366e-47,1.5762420161169e-45
YNR034W,2.35205120671847,6.20386148088575,2.61624837683395e-46,1.10304407371677e-44
YEL034W,-2.59454677892319,9.78362902955394,8.6214803937724e-46,3.52133589833141e-44
YDR033W,2.43901780702555,9.22393473885356,5.13593881568592e-45,2.03414304003076e-43
YKR097W,2.16015130643316,7.15515879572283,2.17185052937517e-43,8.34884894674513e-42
YJR109C,-1.561981070368,4.45000204109273,3.83852459488683e-42,1.43341475586202e-40
YJR096W,-1.50288268468676,8.6326496733112,3.34974017107943e-41,1.216141778778e-39
YEL020C,1.65597429531041,6.35161954979147,4.87809412424165e-41,1.72315378929293e-39
YIR036C,-1.46684668460125,8.81638039069877,2.67506246545311e-37,9.20080695354529e-36
YBR072W,-1.91585566116012,13.5584039181303,3.12337640948111e-37,1.04673153004918e-35
YGL121C,-2.00122638789672,8.83750384945286,7.2529772166289e-37,2.36991030553349e-35
YML004C,1.55879010294724,8.07715015459804,1.31433934095495e-36,4.18985736250762e-35
YGR180C,-1.33504035430087,10.2895055851977,2.26150290286017e-36,7.037581652472e-35
YLR438W,-1.34075842329239,9.23659309416316,2.74686365109711e-36,8.34918788833472e-35
YBR222C,1.53398910904873,5.50568044029414,7.12182707760182e-36,2.11550636146036e-34
YDR019C,-1.39091360451043,8.49669195773808,1.47211233321795e-35,4.27566848781301e-34
YIL053W,2.34081665582931,9.17982319853789,2.87130839729879e-35,8.1582610331946e-34
YGR243W,1.54381091411089,8.90966750131289,1.29511156077916e-34,3.601512361571e-33
YBL001C,-1.31115662037645,7.87686378310471,2.53911810208568e-34,6.91380699880413e-33
YPL170W,-1.70212943464859,8.63669670215137,7.47603948001327e-34,1.99411910211783e-32
YNL274C,1.27226584435634,9.16432369123463,1.03407973108881e-33,2.70308441706614e-32
YCL035C,-1.49900322427203,11.7237479455708,2.32139733213059e-33,5.94914963351898e-32
YER175C,-2.02367144449295,5.81726514336237,2.89863119608002e-33,7.28559802553189e-32
YKL103C,-1.38737391352944,6.29721794711584,8.76297078173402e-33,2.16098166258988e-31
YML131W,1.98514349847623,9.85802265425649,1.27576567444449e-32,3.08782543796101e-31
YOL140W,-1.3859729605006,9.58070747292593,2.5923233685625e-32,6.16030298674761e-31
YIL124W,-1.70252033544013,8.14514000608297,3.52610746018525e-32,8.22968294725379e-31
