NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	standard_A	standard_B	standard_C
KMXK_0F03890	W0TF87	KLMA_60180	7.011849817	7.14370086	6.907052149	7.224195875	7.362088399	7.114008958	7.945476783	8.036401625	7.948596418	7.138664101	7.150815818	6.991914407
KMXK_0D02420	W0T9E0	KLMA_40218	7.822131991	7.692566531	7.699183064	7.410861625	7.450944273	7.395302372	7.021356271	7.032667222	6.993219312	7.3884522	7.370087958	7.289722117
KMXK_0B04700	W0T5M8	KLMA_20459	6.917888127	6.912755187	6.882207926	7.515862377	7.553925173	7.457976032	7.703645274	7.615167607	7.509955276	7.705118023	7.634890696	7.726924876
KMXK_0G03730	W0THY0	KLMA_80367	7.699489774	7.63562764	7.712915371	7.143400574	7.19252784	7.127890411	7.389274834	7.495328216	7.353244233	6.968675622	7.087107712	7.021396932
KMXK_0B02970	W0T5P3	KLMA_20282	7.851272168	7.813481691	7.777330245	7.224582765	7.364475439	7.256195331	7.513137507	7.425475927	7.480524915	7.312610785	7.369846355	7.37938427
KMXK_0E02340	W0TBW1	KLMA_50231	7.58856971	7.667934036	7.676215336	7.336535164	7.290161259	7.300489135	7.498766359	7.502579072	7.562207169	7.322174388	7.340220494	7.290739385
KMXK_0A05260	W0T3I9	KLMA_10338	6.873515975	6.770148606	7.019765768	7.394226627	7.39043478	7.462069056	7.522394775	7.570543899	7.551488826	7.152412907	7.165456897	7.200153282
KMXK_0C05990	W0TCS3	KLMA_30599	7.266791699	7.407113992	7.453150455	8.232308327	8.123251126	8.333450712	7.797460512	7.689651377	7.786416095	7.835885224	7.676526071	7.756052965
KMXK_0F02430	W0TE19	KLMA_60329	6.51085449	6.462383824	NA	6.980489804	6.914139969	6.685563523	6.966592189	6.997922562	6.74928393	6.976570721	6.935406776	6.786291497
KMXK_0A06960	W0T4N5	KLMA_10159	6.57141073	6.665958447	6.63257489	7.09822911	7.141072499	7.024089059	7.094226769	7.203929101	7.131549889	6.98469037	7.181395869	7.186676716
KMXK_0E06060	W0TGM4	KLMA_50610	6.89324364	6.929339409	7.00076017	7.159337259	7.193013294	7.223324629	7.25015887	7.281204325	7.250737533	7.318301084	7.256908864	7.266165876
KMXK_0G03550	W0TKF9	KLMA_80348	7.354782708	7.310795674	7.219912462	7.704191434	7.718673239	7.706614353	7.706344449	7.551938268	7.594688301	7.761722843	7.753493198	7.781738437
KMXK_0A01280	W0T8D4	KLMA_10712	7.782061714	7.813304625	7.82637951	7.436923113	7.46022366	7.424524151	7.546173024	7.524803257	7.520072116	7.594080455	7.444903488	7.532814782
KMXK_0E03660	W0TC80	KLMA_50361	7.303264272	7.631302026	7.462068666	7.882207463	7.945968487	7.738722098	6.168412467	6.465733134	5.930944096	8.046270701	7.938473217	7.326206932
KMXK_0D01140	W0TAQ3	KLMA_40094	7.19338719	7.309120265	7.166940884	7.40173256	7.612518245	7.41298067	7.50103886	7.584192861	7.457067868	7.545381228	7.70479289	7.441210375
KMXK_0C00270	W0T7F3	KLMA_30025	7.062082473	7.032302753	7.109036289	7.572887741	7.398622483	7.401240031	7.609061131	7.656134625	7.590270331	7.336897175	7.331284758	7.408960729
KMXK_0H01120	W0TGN4	KLMA_70113	6.589645424	6.604116434	6.367746209	7.107146916	7.050912267	7.109518093	7.016186605	7.081949729	6.908904241	7.098277034	7.126139813	6.986780806
KMXK_0D01720	W0T963	KLMA_40148	6.844439186	6.623794277	6.691456437	7.955969678	7.632990392	7.597594122	7.207831224	7.05852017	7.293802395	7.74722723	7.81583103	7.624596253
KMXK_0B00860	W0T4J6	KLMA_20074	7.207807082	7.278404007	7.272415362	6.724471445	6.938541681	6.726135158	7.006242593	7.117948199	6.969763987	6.774147375	6.73560449	6.688610998
KMXK_0B02730	W0T7C2	KLMA_20258	6.777638412	6.510315143	6.657962853	7.749234155	7.507123114	7.527465887	7.650460016	7.735875354	7.664543474	7.456967847	7.428011308	7.758121935
