genes,direction
CENPK1137D_4545,up
CENPK1137D_1386,mixed
CENPK1137D_870,down
CENPK1137D_2119,up
CENPK1137D_4476,up
CENPK1137D_4620,mixed
CENPK1137D_2486,mixed
CENPK1137D_2770,up
CENPK1137D_1113,mixed
CENPK1137D_591,up
CENPK1137D_2545,down
CENPK1137D_225,down
CENPK1137D_438,up
CENPK1137D_1118,up
CENPK1137D_2971,down
CENPK1137D_20,down
CENPK1137D_3503,down
CENPK1137D_4859,down
CENPK1137D_2605,up
CENPK1137D_4964,mixed
CENPK1137D_165,up
CENPK1137D_5334,down
CENPK1137D_1940,mixed
CENPK1137D_521,up
CENPK1137D_3402,mixed
CENPK1137D_2483,up
CENPK1137D_3192,mixed
CENPK1137D_321,up
CENPK1137D_5342,down
CENPK1137D_1820,down
CENPK1137D_2196,up
CENPK1137D_2456,down
CENPK1137D_3027,down
CENPK1137D_239,down
CENPK1137D_57,down
CENPK1137D_2231,up
CENPK1137D_3412,up
CENPK1137D_1410,up
CENPK1137D_3292,up
CENPK1137D_4595,up
CENPK1137D_723,down
CENPK1137D_3491,down
CENPK1137D_442,down
CENPK1137D_5314,down
CENPK1137D_2567,down
CENPK1137D_4563,up
CENPK1137D_5238,down
CENPK1137D_2568,down
CENPK1137D_676,down
CENPK1137D_5408,up
CENPK1137D_4096,up
CENPK1137D_3444,down
CENPK1137D_387,up
CENPK1137D_1214,down
CENPK1137D_1314,down
CENPK1137D_5081,down
CENPK1137D_3026,up
CENPK1137D_1974,up
CENPK1137D_724,down
CENPK1137D_3861,up
CENPK1137D_1642,down
CENPK1137D_2903,up
CENPK1137D_736,down
CENPK1137D_4231,up
CENPK1137D_1495,up
CENPK1137D_2993,up
CENPK1137D_4755,up
CENPK1137D_3996,up
CENPK1137D_2345,up
CENPK1137D_555,up
CENPK1137D_91,down
CENPK1137D_1339,down
CENPK1137D_384,down
CENPK1137D_5399,down
CENPK1137D_3141,down
CENPK1137D_44,down
CENPK1137D_5214,down
CENPK1137D_1524,down
CENPK1137D_4806,down
CENPK1137D_1004,down
CENPK1137D_4578,down
CENPK1137D_3477,down
CENPK1137D_2149,down
CENPK1137D_1830,mixed
CENPK1137D_1111,up
CENPK1137D_2195,up
CENPK1137D_1525,up
CENPK1137D_5119,down
CENPK1137D_5043,down
CENPK1137D_2760,down
CENPK1137D_1888,down
CENPK1137D_1128,down
CENPK1137D_3371,mixed
CENPK1137D_5,down
CENPK1137D_3741,mixed
CENPK1137D_444,down
CENPK1137D_3458,mixed
CENPK1137D_3497,down
CENPK1137D_2084,up
CENPK1137D_2722,down
CENPK1137D_363,mixed
CENPK1137D_1446,down
CENPK1137D_3112,down
CENPK1137D_3445,down
CENPK1137D_260,down
CENPK1137D_4336,up
CENPK1137D_2744,mixed
CENPK1137D_2546,up
CENPK1137D_3433,up
CENPK1137D_5091,up
CENPK1137D_624,down
CENPK1137D_3481,down
CENPK1137D_1131,down
CENPK1137D_2086,up
CENPK1137D_132,mixed
CENPK1137D_4653,up
