,logFC,-log10Pval
CENPK1137D_4545,1.24589048537554,34.468683921733
CENPK1137D_1386,2.12459002299751,29.6345059228765
CENPK1137D_870,-1.29597012319472,26.051828275759
CENPK1137D_4476,1.3074565945607,24.9662026548477
CENPK1137D_4072,-1.02607195812644,20.033498152906
CENPK1137D_2119,1.16114319129615,19.773520309477
CENPK1137D_591,1.17891875380161,17.0273489175065
CENPK1137D_4563,1.97934071840836,14.4688933921827
CENPK1137D_225,-1.10044448694391,14.3926541644201
CENPK1137D_2770,1.3294042321634,14.3605841843802
CENPK1137D_2486,2.30208592319863,13.5840415218185
CENPK1137D_2971,-1.32026539349508,13.1810163524993
CENPK1137D_3503,-1.19972840287927,12.7474863269434
CENPK1137D_2605,1.1111244465125,12.5461188599016
CENPK1137D_5334,-1.40172740946706,11.5361692169719
CENPK1137D_1940,2.64028032407432,11.5361692169719
CENPK1137D_3402,-1.04673597498687,11.3436428956432
CENPK1137D_3192,1.10866991611958,10.9346357111372
CENPK1137D_2196,1.43993233384999,10.748025435943
CENPK1137D_2456,-1.02675444114624,10.5406429890909
CENPK1137D_1410,1.05286812513623,10.3452543028824
CENPK1137D_723,-1.04543229650107,9.86187653976215
CENPK1137D_3491,-1.22323958756576,9.82244636462131
CENPK1137D_5314,-1.06259967777126,9.7223194179945
CENPK1137D_5408,1.49377627966023,8.96701138347932
CENPK1137D_3444,-1.16428996180841,8.77515179768437
CENPK1137D_4096,1.03932815867513,8.63313222773663
CENPK1137D_3026,1.44856628609221,8.22558688625628
CENPK1137D_724,-1.13712691032046,8.14238578966035
CENPK1137D_2993,1.022290561754,7.91948438722875
CENPK1137D_3861,1.33245945992243,7.91490678769178
CENPK1137D_3292,2.02013784297478,7.73037237413959
CENPK1137D_4620,1.92351532928547,7.65544262635594
CENPK1137D_91,-1.03718093365705,7.5689180289588
CENPK1137D_2345,1.13604017002958,7.53444100738741
CENPK1137D_384,-1.28825512617783,7.20259174493432
CENPK1137D_5214,-1.08167821117136,7.04369941846115
CENPK1137D_2393,1.94286150134509,6.9804450435775
CENPK1137D_1113,1.14489520543165,6.70532572595073
CENPK1137D_2149,-1.10171162859828,6.66861637692248
CENPK1137D_2084,1.00210673714573,6.50772337705711
CENPK1137D_1128,-1.06842631574903,6.25140560045474
CENPK1137D_444,-1.12674383102094,6.07932171697472
CENPK1137D_3371,1.45338069227981,5.98326045127769
CENPK1137D_467,1.75170605032655,5.86927876341872
CENPK1137D_484,1.74420092964497,5.82728624493727
CENPK1137D_2939,1.03239215915468,5.65628063256802
CENPK1137D_2752,1.05570796594997,5.54903646579969
CENPK1137D_2729,-1.0989617619643,5.54900803078787
CENPK1137D_1525,1.71560861908171,5.43105616145664
CENPK1137D_3746,-1.03868134172509,5.29867624785504
CENPK1137D_2139,-1.02016149398873,5.19229608988914
CENPK1137D_840,2.030091922078,5.10590744153357
CENPK1137D_132,1.17758884659898,5.09185492279287
CENPK1137D_2182,1.13978081154664,5.07058740904745
CENPK1137D_1,-1.68632881138671,4.90473903266335
CENPK1137D_3406,1.43941213572847,4.84728112790994
CENPK1137D_5445,1.16436710693748,4.48110575152843
CENPK1137D_3615,-1.01318426062685,4.46757470542357
CENPK1137D_5239,-2.27586508594792,4.40640956490922
CENPK1137D_4496,1.48055960660984,4.30289438002967
CENPK1137D_1667,1.13790686778227,4.13397549525497
CENPK1137D_4349,1.04707726827418,4.02939278460726
CENPK1137D_3446,1.08231986924947,3.84978617184261
CENPK1137D_3004,1.47048067998834,3.79794074644059
CENPK1137D_3054,-1.5040789675806,3.72467228834327
CENPK1137D_203,-1.34522174815223,3.72142405257211
CENPK1137D_5137,-2.10286230788252,3.68893048050109
CENPK1137D_1264,1.89631160509206,3.6459600321227
CENPK1137D_4507,1.68908131818465,3.55031059421268
CENPK1137D_5024,1.53201683555604,3.54324050633535
CENPK1137D_3142,-1.36747207901978,3.44265488428334
CENPK1137D_2744,1.14067356548356,3.32416821057495
CENPK1137D_933,1.3779821763858,3.1554711848332
CENPK1137D_2857,1.36586525497822,3.09628170479671
CENPK1137D_3045,-1.10465341632785,3.0361217075732
CENPK1137D_2934,-1.44016608284478,2.97635631960317
CENPK1137D_2390,-1.37391450653879,2.80589345352021
CENPK1137D_4363,-1.96396270736135,2.73512888924932
CENPK1137D_1043,1.20624698030626,2.4946290585175
CENPK1137D_1674,1.17711732948683,2.20427539396364
CENPK1137D_2193,-1.17767678167612,2.01436494975119
