,logFC,-log10Pval
KMXK_0G01840,2.44001391971899,15.0556761715393
KMXK_0C03800,1.53277728417904,13.1711341249743
KMXK_0E04650,1.22247955822363,13.0738607248996
KMXK_0D01390,1.87717773278064,12.8685613907299
KMXK_0G00730,-2.42026253019059,12.007140036204
KMXK_0C00560,1.52011909389631,12.007140036204
KMXK_0F01570,2.04181965724203,11.2928019987639
KMXK_0C06080,1.23181366757786,8.72203037993058
KMXK_0A01180,0.933981074056484,7.9404711745565
KMXK_0E03330,1.56723161511908,7.78264800924594
KMXK_0C06710,0.9041340410706,7.1596112704912
KMXK_0F05590,1.52507307099265,6.69770077344647
KMXK_0F01540,0.991991960401135,6.62115088872655
KMXK_0A00680,-1.3801676561166,6.46201269287982
KMXK_0G00720,3.14768613747848,6.46201269287982
KMXK_0A08380,1.38468533638974,6.44047876551481
KMXK_0C05990,1.40741490632287,6.39488346299826
KMXK_0C00170,2.36333077640436,6.34935369644127
KMXK_0D00150,2.33132030481888,6.06042906721346
KMXK_0D02670,1.45169321968931,5.92304999415484
KMXK_0A06630,1.57842973831235,5.80310408621105
KMXK_0D00750,-2.33836301905729,5.72165699111755
KMXK_0H03800,1.55376445928099,5.47491399739035
KMXK_0C00160,1.02904935751056,5.03533247613876
KMXK_0F03810,0.884064294048447,4.98781451274907
KMXK_0H04330,1.86647643542834,4.91970678825156
KMXK_0G01910,-1.89981002976438,4.88954795269893
KMXK_0A01620,0.94963164351515,4.78058392953396
KMXK_0B06120,0.892821441284201,4.62985730142184
KMXK_0H03280,0.811892590855848,4.30667457896989
KMXK_0C04940,-1.74048251910114,4.26345710696922
KMXK_0E05850,-2.4175842972206,4.26345710696922
KMXK_0B01110,-1.29435522510176,4.11493584736843
KMXK_0D05640,0.830327926125391,4.07004608703743
KMXK_0B00120,1.07835581890053,3.79604696564436
KMXK_0C03170,0.772930676673147,3.65892201202441
KMXK_0E04590,-1.49796086391518,3.33168009652377
KMXK_0A03640,-1.53677258267953,3.29210842167898
KMXK_0H03050,-1.09117486717723,3.27762640707457
KMXK_0H04240,0.947764281121965,3.12920055791661
KMXK_0H03940,0.777155117793822,3.10467776888991
KMXK_0D03100,0.889627583871491,3.02536227926419
KMXK_0A03440,0.84424281923706,2.99365801099326
KMXK_0D01250,-0.942208392851126,2.93890170417985
KMXK_0E04580,1.08600173029326,2.82791404389559
KMXK_0G00140,2.63274358041013,2.77116083173183
KMXK_0D02410,0.813426931727141,2.75594246597752
KMXK_0H02310,-2.00678726645715,2.48583838493268
KMXK_0G01990,0.842311146545822,2.47371848858882
KMXK_0E00500,-1.59269535828732,2.34385577415269
KMXK_0F02450,0.851741415576452,2.31516815203955
KMXK_0G01630,0.811231037042843,2.2239033024998
KMXK_0C07310,-0.928399494112635,2.21757795017445
KMXK_0B02980,-0.94425124976308,2.20383367089951
KMXK_0A05330,0.844640392665242,2.13794841302657
KMXK_0H03770,-2.33670187477449,2.06525364579425
KMXK_0A08090,-1.19004757648038,2.06262000762924
KMXK_0E03320,0.904707950493852,2.04452650063917
