,logFC,-log10Pval
KMXK0D03410,2.28263678482449,25.0534518743218
KMXK0C07260,1.38583900453454,20.5098498767939
KMXK0F03310,1.34702079028564,19.8750371343944
KMXK0D02910,1.13259639642954,14.2942424931408
KMXK0D01300,1.18380036642164,12.7743005153891
KMXK0E04050,1.60793339079256,12.7253775210255
KMXK0C03100,1.51474652619587,12.2946684753934
KMXK0D04670,-1.26554424988021,12.2542814682626
KMXK0D01520,4.75708681139818,11.9154644258528
KMXK0D02960,1.53971856660338,11.6687427167503
KMXK0E02690,1.0618415542422,10.8936896001817
KMXK0C06270,1.08173036424379,10.8180313956317
KMXK0H03280,-1.33741392633373,10.8180313956317
KMXK0G03730,1.49438685098281,10.8180313956317
KMXK0F00530,1.15140805941689,10.1821486168294
KMXK0H03120,-1.41893654538432,10.059595956563
KMXK0E03710,1.6613164695851,9.88200968271022
KMXK0B04700,-1.51348564292497,9.85930615217513
KMXK0F05620,1.19681901866238,9.84553240151868
KMXK0E00610,1.21346749596166,9.74972555279212
KMXK0A04140,1.25613587693616,9.69147392773917
KMXK0D01260,-1.33200740166272,9.27806817507705
KMXK0G02530,-1.0004529794375,9.27806817507705
KMXK0C00370,-1.09914538259568,9.20432562707604
KMXK0A05070,1.5816390375697,9.19225358001328
KMXK0F00540,1.12528371942138,9.05391397276207
KMXK0E00700,1.21173487986927,8.93809012723048
KMXK0E05350,-1.00761589611502,8.92417042488326
KMXK0H03460,1.07955269066275,8.88534839969004
KMXK0F04540,-1.47959108613837,8.69146434809296
KMXK0A06440,-1.14751120697296,8.51391292204469
KMXK0A06730,1.07976689007088,8.51391292204469
KMXK0A02460,1.18295188067603,8.38862935952826
KMXK0B02360,-1.74048058960406,8.29735799579448
KMXK0A01100,1.00160647608283,8.22896063140884
KMXK0D04300,1.06912656398265,8.20588607418567
KMXK0A06560,1.23385395236773,8.0252750945515
KMXK0C05200,-1.00219583841845,7.77035343977066
KMXK0C07380,-1.43582471759976,7.4573395750739
KMXK0B05890,1.06169445154589,7.18914353294583
KMXK0F00970,-1.43633120772987,7.14903618483563
KMXK0C00390,1.1257700118063,7.12175985360398
KMXK0C00850,1.08598194347944,7.09973074021741
KMXK0C03390,-1.56935561362803,6.92039788444779
KMXK0G03270,1.09115419150229,6.86487672862817
KMXK0B06020,-1.31056322708059,6.70941081085017
KMXK0H02920,-1.03713330532473,6.69615167518964
KMXK0A01380,-1.20000666362631,6.56694408950834
KMXK0F03920,1.3092541680815,6.56107114936934
KMXK0D05440,1.09766827547879,6.47769214385647
KMXK0C04390,1.01671184504775,6.36898902861389
KMXK0D03400,1.0017505025901,6.34549657970162
KMXK0E05410,1.40306390082255,6.32471702362428
KMXK0G03090,-1.1066898677038,6.21498178300851
KMXK0C03160,1.73841033730077,6.1073556260333
KMXK0D04010,1.00460134134388,6.08464741961883
KMXK0F04530,-1.18513937435976,5.96975819218201
KMXK0A08290,-1.50026234077602,5.96116215902504
KMXK0D01560,1.79823358480163,5.94635663557966
KMXK0C04430,1.17273120878197,5.9305847064367
KMXK0B04400,1.99452152000103,5.83211453343939
KMXK0F05630,1.15735313347972,5.73648912807348
KMXK0E04790,1.3131452368489,5.53952969170507
KMXK0B02340,-1.11254214713529,5.48414349058903
KMXK0B08280,1.18216541891592,5.35201002472807
KMXK0G02800,1.0169496194304,5.28016879882518
KMXK0B02780,-1.40209462311219,5.20734528326137
KMXK0B02770,-1.03584650074623,5.11084295429346
KMXK0E00250,-2.63437698328223,5.02959088813456
KMXK0F03060,3.35714457142018,5.0017927644551
KMXK0G03800,-1.02957462137581,4.90259235276714
KMXK0C00200,1.14958320477797,4.88807224942348
KMXK0A00650,-1.07145156327034,4.87477703819062
KMXK0E00270,1.54154687252165,4.84839467110676
KMXK0B05990,1.43157254450547,4.79884971357776
KMXK0H00120,1.34631837451018,4.71324610215098
KMXK0D02500,1.23904459581844,4.6208349656808
KMXK0B01990,-1.00017738229017,4.58157919457867
KMXK0E00880,1.05712691348233,4.56559279264268
KMXK0H03880,-1.13765617792838,4.42460393968413
KMXK0A00970,1.58788883900577,4.40881457967055
KMXK0H01000,1.34802020237381,4.40881457967055
KMXK0F04730,1.20633177223387,4.4043723031604
KMXK0C04790,-1.6315333816026,4.4043723031604
KMXK0C00950,-1.29544457773646,4.39311582680603
KMXK0A01670,1.52885349732509,4.392377127088
KMXK0A06250,1.49434648909818,4.30819582376704
KMXK0C00210,1.21202545124938,4.30099369468736
KMXK0D00330,1.05954710309885,4.16553597692091
KMXK0A02310,1.20843411322473,4.06524517175865
KMXK0E04600,1.10586164587347,4.03364882866151
KMXK0H03590,-1.01481850555025,4.02722116366977
KMXK0F03150,-1.09731798382123,3.96710625061366
KMXK0H00100,1.23215315385751,3.96710625061366
KMXK0B00720,1.58990582259169,3.92495441643389
