genes,logFC,logCPM,PValue,FDR
KMXK_0A06270,1.45249756289667,7.87818219827139,1.75793468901595e-19,8.6437648658914e-16
KMXK_0G01840,2.44001391971899,9.67190897125181,4.7139902682763e-19,8.79678197875244e-16
KMXK_0C00230,-2.75121208783487,2.73561686768438,5.3671641115024e-19,8.79678197875244e-16
KMXK_0C03800,1.53277728417904,7.16581415061217,5.48561921953439e-17,6.74319742561264e-14
KMXK_0E04650,1.22247955822363,6.55241695251373,8.57845487588369e-17,8.43605252494402e-14
KMXK_0D01390,1.87717773278064,8.0380387681392,1.65154210932583e-16,1.35343875859251e-13
KMXK_0F02790,-4.76884825438181,4.28044945358482,8.90798331070165e-16,6.25722199124572e-13
KMXK_0G00730,-2.42026253019059,2.64426394339586,1.67035606628924e-15,9.83693867177474e-13
KMXK_0C00560,1.52011909389631,7.85325521151071,1.80053788989165e-15,9.83693867177474e-13
KMXK_0H03810,-3.0235772946868,3.21437925206534,8.59101758701462e-15,4.22420334753509e-12
KMXK_0F01570,2.04181965724203,3.37022322636322,1.1399622716511e-14,5.09563135428043e-12
KMXK_0F01560,2.62214730916956,7.02579996611058,7.04574222151024e-14,2.88699287526382e-11
KMXK_0H04310,1.06698124219315,8.40533953418713,2.12775481778111e-13,8.04782341463823e-11
KMXK_0H02920,-1.59072578725036,3.95899187085536,1.33770595238485e-12,4.69821440562594e-10
KMXK_0A04840,1.09135153218867,7.42604686171347,2.665250195713e-12,8.73669014154723e-10
KMXK_0C06080,1.23181366757786,8.24416923061281,6.17148097382061e-12,1.89657324676725e-09
KMXK_0E03330,1.56723161511908,6.3234007115536,6.03843349580503e-11,1.64949874993741e-08
KMXK_0E03530,1.04322639942414,8.38804768949807,4.48195317712726e-10,1.10188818859674e-07
KMXK_0H04340,1.69331096610525,4.36538435831099,6.04987121273837e-10,1.41653413109688e-07
KMXK_0F05590,1.52507307099265,5.21715654458525,8.97473634745135e-10,2.00585357365538e-07
KMXK_0A00680,-1.3801676561166,4.84213000108788,1.68831940552743e-09,3.45133652161905e-07
KMXK_0G00720,3.14768613747848,7.28887563841945,1.75479790604995e-09,3.45133652161905e-07
KMXK_0A08380,1.38468533638974,5.57421300066135,1.91776052172508e-09,3.62678018666239e-07
KMXK_0C05990,1.40741490632287,12.3031643907734,2.21197438196942e-09,4.02825112449764e-07
KMXK_0C00170,2.36333077640436,6.82004305458716,2.54744095478691e-09,4.47348827667401e-07
KMXK_0E03750,1.05885235642628,5.85377703866434,3.20110324404515e-09,5.26383082877547e-07
KMXK_0A02940,-1.81172682167321,6.86268966506539,3.47133528480305e-09,5.50598567592794e-07
KMXK_0D00150,2.33132030481888,3.29487258957614,5.66266282306366e-09,8.70103534406375e-07
KMXK_0D02670,1.45169321968931,5.21987379170778,8.01242057372111e-09,1.19385066548444e-06
KMXK_0A06630,1.57842973831235,5.32543154237488,1.08811456233491e-08,1.57360567735316e-06
KMXK_0D00750,-2.33836301905729,2.8810474635934,1.35117264732174e-08,1.89820454482314e-06
KMXK_0E06320,-2.31570376466258,2.02199974379268,2.21126963771291e-08,3.02022578017622e-06
