genes,logFC,logCPM,PValue,FDR
KMXK0E04700,-3.77028859283136,8.60071395123263,1.32467743672733e-50,6.69359508778322e-47
KMXK0C03420,-3.09268399959628,6.98236118705175,5.72125457102069e-46,1.44547496736838e-42
KMXK0F03890,2.68494059424142,10.0738745210988,7.8347209909529e-34,1.31962817224283e-30
KMXK0C00790,1.27008858873194,5.8327906423236,3.41632210212882e-28,4.31566889551423e-25
KMXK0A08360,3.7338484621363,5.04487213312469,1.34313139046799e-23,1.35736858320695e-20
KMXK0H04040,-1.05175855081652,6.45772600223999,2.7604944116357e-23,2.3247963769992e-20
KMXK0A04840,-2.85525931802052,7.31580233295334,4.90825101424983e-23,3.54305605357205e-20
KMXK0A06760,1.50718413393941,9.5188222487397,2.4191690783362e-22,1.5280076691041e-19
KMXK0D01390,-1.96690021656298,7.38761257914447,3.65741422660602e-21,2.05343489856002e-18
KMXK0B08170,2.39073671145808,8.14328471703599,1.55688272690745e-20,7.86692841906333e-18
KMXK0E03750,1.94866716460037,6.29661723705398,7.7498945824726e-20,3.56001975683946e-17
KMXK0D01050,4.99844306747073,6.61104596609593,9.38982919671658e-20,3.95390057758407e-17
KMXK0A03190,4.5406749510067,6.30152815978569,1.52392843313448e-19,5.92339259432963e-17
KMXK0B03310,-2.89897183386922,8.28221584733121,4.95710610506957e-19,1.78916122492261e-16
KMXK0H04290,-2.5948115257353,9.14341483001668,5.79679254555168e-19,1.95274618217818e-16
KMXK0G00120,-3.56005429549581,4.03738619225038,1.09089045677284e-17,3.44516842379573e-15
KMXK0H03090,-1.57214664515865,8.00767453154847,1.60836492610037e-17,4.78062821857953e-15
KMXK0D03570,0.970206282905432,7.28163372525212,1.96482842569456e-17,5.51571001946366e-15
KMXK0A00200,2.08985290763402,6.76372581517066,3.57867842047312e-17,9.51740108350035e-15
KMXK0F02400,-1.27269487756355,6.2831032938777,4.69324027534868e-16,1.18574715556685e-13
KMXK0C07290,-1.10953180976696,9.26493608128761,9.29085710827849e-16,2.23555718895863e-13
KMXK0H01830,2.29548580231969,7.80070096652613,1.02318296187928e-15,2.35006523017091e-13
KMXK0B00180,-1.61306329929466,10.6287493083031,2.18135292910645e-15,4.79233754381517e-13
KMXK0G00390,-1.7024121032175,5.46693250606751,2.84167800703421e-15,5.98291623730994e-13
KMXK0C02810,-1.51502724792043,7.46002004388315,3.19732767681363e-15,6.4624387003757e-13
KMXK0E02790,-1.02887779450639,6.47962563216605,4.46322063493412e-15,8.67409764166235e-13
KMXK0A01850,-1.73687814400489,10.4397185247377,9.68046652399851e-15,1.81168138317646e-12
KMXK0A02460,-1.29130351650148,6.84753028519382,1.0851012283221e-14,1.95822018096842e-12
KMXK0E05010,2.76322099595461,8.13026572676387,1.48163021808562e-14,2.58161292827125e-12
KMXK0A07740,-1.47305495993265,3.82442313570574,3.11251318611064e-14,5.24250970980569e-12
KMXK0B04680,-2.24254247425665,4.97065502131404,3.63005327872231e-14,5.91698684431736e-12
KMXK0F01440,-2.47100071053993,6.60658766697012,5.95626897402081e-14,9.40532097678973e-12
KMXK0C05790,-0.851496842529945,7.28390145919222,8.82543078530387e-14,1.35136065933759e-11
KMXK0E06310,2.49621298328037,4.7242066495329,1.23619721182394e-13,1.83720720921952e-11
KMXK0A01430,-1.14275348046338,6.37140312202436,1.79337035196937e-13,2.58911439671463e-11
KMXK0A02950,-2.19824675537636,7.47274622293686,2.02987673824408e-13,2.84915754398537e-11
KMXK0C04630,1.07653099105845,5.3210961092055,2.59617405527171e-13,3.54553175710486e-11
KMXK0D06590,-2.46061517090139,8.68564955210877,4.64424437370125e-13,6.17562284745064e-11
KMXK0C05760,-1.01195392164314,6.54906967875977,5.15856892690273e-13,6.68365353529218e-11
KMXK0B02900,-0.915785421587779,5.88074035462876,7.58340369948045e-13,9.57973472336868e-11
KMXK0G00130,-2.17632326748509,4.37878397318094,8.55419303663065e-13,1.05425213205109e-10
KMXK0B08160,0.945677896568981,6.68528757174735,1.17020970417737e-12,1.40787372266863e-10
KMXK0D02250,-3.52485459398803,4.35127354612431,1.43191770711481e-12,1.68266980791887e-10
KMXK0E03530,-1.18082128882661,8.191083502673,2.16791313802413e-12,2.48965115600816e-10
KMXK0B01120,-2.78134280401319,8.32761272280031,5.34486520117041e-12,6.00168974700313e-10
KMXK0D01860,-1.87938850504974,5.72256549101587,7.48912765871672e-12,8.2266439259773e-10
KMXK0G00230,-1.48983776377643,10.4358357389314,1.48045512365476e-11,1.59164675315478e-09
KMXK0C06160,1.16173400525238,9.45764087493289,2.09716950152719e-11,2.20770781067019e-09
KMXK0C06530,-1.11234993442334,9.47504836355656,2.38566931282212e-11,2.46016061993677e-09
KMXK0D03400,-1.06012836037031,6.99821298394837,2.43815143209322e-11,2.46399583727341e-09
KMXK0H04430,-1.68193491140272,10.3116461055332,2.68074862424395e-11,2.65604368594209e-09
KMXK0G00550,-0.947649644675187,6.02250835768254,2.83069212039864e-11,2.75067063161045e-09
KMXK0A07780,-1.91901230556167,6.51758284556366,6.13269602642592e-11,5.84688924934531e-09
KMXK0D05590,-2.33035027434494,9.29193628685579,7.31294423466454e-11,6.84301985514073e-09
KMXK0C03640,-0.855802412676575,10.0733979932069,8.54233511543575e-11,7.8480762433267e-09
