,logFC,-log10Pval
YHR050W-A,2.18331744135301,106.111730043341
YBL003C,-1.82311701750727,89.6218406503134
YKL066W,2.11921136718892,82.2945148558482
YNL067W,-1.94945389196182,71.2334030986615
YLL050C,-1.57548717013561,66.4430781426068
YKR057W,-1.74751135378763,62.7802451694001
YNR021W,-1.44807511985046,58.8750227224082
YLR264W,-1.65798011718738,58.1588445368946
YOL077W-A,1.792505887927,54.9717806919438
YNL162W,-1.60212455374161,51.5360089434641
YPL218W,-1.42820991212122,50.90055102433
YDL184C,-1.48967409722478,49.6993197899549
YCR024C-B,-1.60325351302212,46.6868028461828
YLR333C,-1.72544926054855,46.5867676516384
YDR163W,1.48660775426685,46.4403313097995
YLR438C-A,1.33984572342366,45.4369758030539
YER074W,-1.59298748328251,44.6130957598537
YMR256C,-1.3815003977624,43.9444698186565
YPR102C,-1.39911505213441,42.8360385088583
YER009W,-1.32482296561199,42.8360385088583
YGL025C,1.11968007802935,42.2831523902875
YGL188C,-1.32284604086888,41.7227288105365
YOR096W,-1.58402331306889,41.6724993970588
YGR169C-A,1.402177928644,41.213960419733
YMR043W,1.31616381195655,40.4411549987201
YNL259C,-1.60933129190531,40.3783301279966
YLL014W,-1.45846479627754,39.1406219804278
YNL178W,-1.5739528842262,38.9939417679949
YML024W,-1.48903267397237,38.441025132743
YOR369C,-1.70483379419391,37.5068698100421
YGL044C,1.1146252443527,37.0062946644991
YOR089C,1.34298955626446,36.7370826058591
YDR002W,-1.48736599850543,36.072504632576
YLR390W,1.23121851652531,35.9636152229401
YDL161W,1.29665686244078,35.7573079095559
YJR135W-A,-1.47227726258231,35.5391802070492
YKL122C,1.13064562904229,35.5391802070492
YLR206W,1.34339345096751,35.3804875656503
YML078W,-1.16853642089536,35.1616148035656
YER159C,1.4692790890254,34.0252814972075
YDR513W,-1.30059730669806,33.6913763763296
YLR050C,-1.25898392112217,33.652801882795
YNL010W,-1.38153684437712,33.2373594911974
YLR262C-A,-1.37446144948881,33.1537276288887
YCR031C,-1.38434682401298,32.9993050688231
YDL083C,-1.34108018986658,32.8835081465051
YJL104W,1.04098977456433,32.5625266115038
YOR133W,-1.26475439715944,31.8563664982592
YGR282C,-1.31589476138049,31.8449675497508
YDR447C,-1.43088135987931,31.5804856539435
YCR034W,-1.26366295503352,31.4413310322577
YBL092W,-1.34324791760356,31.216358672539
YDR450W,-1.32369941588513,31.1796981700187
YKL077W,-1.09306674190321,30.2362926275523
YFL045C,-1.25852767182512,30.2193723686963
YKL008C,-1.16157697309637,29.9691293100792
YDR468C,1.00373765006263,29.0143764041556
YGL076C,-1.42286131057005,28.7450194127833
YLR200W,1.048023270982,28.7394789858394
YLR301W,-1.23667515750569,28.6508332304159
YPL163C,1.13299404850583,28.6460386043083
YHR064C,-1.12668210927734,28.4172469654981
YDL084W,-1.0534775627226,28.3417492532899
YBR233W-A,1.08898115174941,28.2710600563492
YLR038C,-1.07118290084952,27.8181031175479
YGR085C,-1.16023320432198,27.8181031175479
YOR302W,2.0883953335468,27.7847712998085
YDR385W,-1.23508512823546,27.7777209561325
YHR051W,-1.12287021100037,27.7146908508214
YPR080W,-1.24894658159545,27.6333273955378
YAL013W,1.18348412712899,27.6113451792162
YPL090C,-1.31788961854271,27.577842829435
YGR209C,-1.1468331262386,27.5255570593334
YDR428C,-1.25119990675692,27.4834033417452
YDR050C,-1.351263876254,27.3650533211014
YBR109C,-0.989428905888453,27.2673570862694
YML064C,0.932195451931238,26.9945383477204
YDR363W-A,1.19130897023924,26.8961805352217
YNL024C-A,-1.10620800274533,26.8558777010788
YKL056C,-1.4503164257046,26.8122714788882
YGL077C,-1.13375528699432,26.6160085071811
YFR044C,-0.966237172992509,26.4244962059911
YDR286C,-1.3594824186943,26.4177629539
YNR020C,0.876902347248738,26.2909512414436
YGR215W,1.0178582981885,26.2162636342869
YDR068W,0.958938418894902,25.5782131669197
YML026C,-1.27719185945118,25.227918755398
YCL056C,0.993872209424373,25.2047020907732
YPL234C,-0.999070254079803,25.0205250137962
YPL211W,-1.62131657395769,25.0032645136075
YOR329C,1.00429630375291,24.9843583690328
YDL075W,-1.26350048617602,24.9434791322369
YMR311C,1.09499344193535,24.5263643629365
YML001W,-1.11497082892993,24.4850163095409
YDR207C,0.941308496099875,24.4704494973935
YPR093C,0.949514917730543,24.4704494973935
YOR327C,-0.994369826056717,24.2592483492283
YOR140W,0.872775088822155,24.2414612050247
YGL115W,-0.862767631286505,24.1868492297405
YHR083W,0.852373803449371,24.0871447419385
YOR037W,0.92728832501182,23.8561207467863
YJL023C,-1.04753212022166,23.8362246237345
YPL178W,-0.88622887573476,23.8362246237345
YDL015C,-0.950862227590967,23.7686451602387
YPL221W,-1.00693709764635,23.7413411340075
YNL148C,1.03585685083306,23.7413411340075
YCL038C,-1.07189829053947,23.5744781573406
YJR139C,-0.968383401772987,23.4787986629553
YCR075W-A,-1.52973721108326,23.4246408284031
YNL306W,0.962737494317505,23.3994114916747
YOL108C,0.907808285824282,23.1913067401964
YIR019C,1.35691943823002,23.1422512919874
YGL215W,0.960883794999356,23.0066444747498
YDL193W,-0.834425469870159,23.0066444747498
YBL029C-A,0.913602147750808,22.9980194103841
YHR141C,-1.04908945989429,22.9745910081167
YOR194C,0.979200469458354,22.9524251112963
YMR070W,1.06844219880473,22.8136558549018
YGR174C,1.35840960475369,22.804997116652
YHR201C,0.910096893914226,22.7908842316808
YCR023C,-1.05567969227974,22.7544410060974
YDR473C,0.821292058622,22.4996272616004
YBR279W,0.896910721300176,22.4832487993672
YIL154C,0.932021009427419,22.396439881684
YOL005C,0.905636012907385,22.3874845735659
YDL029W,-0.91037305099086,22.2283392013467
YJR141W,-1.19000412091317,22.1668560482052
YOL093W,1.04894931774439,22.1424055629661
YHR039C-A,-0.907816706093103,22.0219353018686
YBR016W,1.03173738843309,21.8567023329275
YMR292W,-1.07946883990617,21.8344169736572
YPR020W,-0.862197262668199,21.7257591391346
YMR122W-A,-0.986892288225893,21.6400518937965
YIL053W,-1.1808814526874,21.5487968725503
YIL014C-A,0.868377766038561,21.449253325697
YOR182C,-1.05084920376203,21.4272378747586
YOR234C,-1.11269779344935,21.4272378747586
YDR284C,-0.863558668321128,21.4268050346717
YFL039C,-1.03431027218661,21.384807242037
YBR089C-A,-1.00089432536385,21.2901987378036
YOR097C,0.967115424432869,21.2067252888545
YPL087W,-0.842677557255617,21.1857116037543
YKL082C,0.985299877705416,21.1175460328547
YGL226W,1.0635855942001,20.922117899132
YMR194W,-1.10823423466433,20.8045841284529
YOL053W,0.803027775160071,20.8041980040405
YLR441C,-1.11053987061268,20.7169211023269
YFL048C,-0.777085685004734,20.6487386887293
YFR016C,0.844112558656576,20.5855988690778
YOR063W,-1.27248928027443,20.5489629515106
YKL032C,0.976112120680301,20.5038960856859
YIL148W,-1.03867875222339,20.4317014574731
YGR262C,0.964217644687872,20.1897990985564
YDR454C,-0.806498744283827,20.1387110201684
YBR025C,-0.976956762995086,20.0990149678238
YDR429C,-0.972702783497299,20.0035527761692
YJL115W,0.906636429251281,19.7932447354706
YGL135W,-0.963316999709824,19.5810659950216
YML113W,1.00205426019429,19.5428262733495
YAL033W,1.12582869627276,19.3522232165389
YOL112W,0.793822741402416,19.2623521404805
YER178W,-0.945988706378879,19.2102046228583
YLR185W,-1.01721357031257,19.1576721329602
YHR174W,-1.05021069891887,19.0685558589259
YPL079W,-1.13424743306825,19.0592973489526
YGR268C,0.846190286269893,18.9804895663575
YLR292C,0.781221503639186,18.9255986434119
YBR204C,-0.889152216080455,18.9212717179373
YGR156W,0.840585202266806,18.7958209401009
YNL286W,1.00240673561883,18.5562160758524
YDR072C,-0.890698326223623,18.5541219281798
YML015C,0.822619425410881,18.5541219281798
YEL017C-A,-0.977076965026796,18.5534124307567
YDR078C,-1.20572764989144,18.5477490988449
YDR077W,1.29792412520037,18.3552640682304
YKL054C,0.903387130866523,18.3530198616964
YGR182C,-0.928412230717873,18.3347506632633
YGR024C,-0.815113149229535,18.2629443047809
YNL300W,1.44989637238235,18.1725805840113
YFR052W,-0.813157033208049,18.1509723213006
YJL140W,0.832336253705519,17.959272487712
YLR095C,0.808751941070595,17.8813154603813
YJL024C,0.761689924842683,17.8670156216063
YMR263W,0.910802199283686,17.8329407878628
YDL157C,-1.0734168462755,17.7344504251505
YNL220W,-0.987624933011239,17.7198546594579
YKL053C-A,-1.02900145291313,17.6893902355408
YMR143W,-0.922863336439408,17.6014057695089
YER042W,-0.84388597535518,17.5940979525537
YFR033C,0.959092945648236,17.5410519667939
YGR275W,0.837494181625261,17.4444998383105
YOR215C,1.05456744086834,17.4062842110035
YEL045C,1.56829399626248,17.4034414037487
YPR073C,-0.921859598326396,17.3152657070101
YEL044W,0.763623786080675,17.1001024943265
YKR083C,0.803441005186828,17.0868617228941
YPL089C,0.836826970619406,17.0730680314944
YER074W-A,-0.786369351108284,17.049669515169
YER122C,0.816482454766666,16.9799248174886
YGR192C,-1.17631252948259,16.874671875938
YGL238W,-0.789117436780393,16.8281009510542
YHL010C,0.956650232396341,16.7841018393913
YPR154W,0.809577646120642,16.7522910337785
YDR031W,-1.04631300150643,16.7440751477622
YER071C,-1.16320827788308,16.7370428411625
YCR012W,-1.23016474460788,16.7225548646456
YOR257W,0.896850392326986,16.7095651698189
YKL068W-A,-1.04507532377544,16.7039571694214
