,logFC,-log10Pval
YJL107C,4.39933320507442,274.533983954326
YJL108C,4.37258497806488,242.943686536653
YKL187C,-5.39677943074051,133.208910372367
YJL045W,-3.32181938241888,113.962729705263
YDL022W,2.96916463961186,108.402474634674
YER062C,2.37453706108367,102.319100083662
YNL040W,-2.36551496333989,94.3008187694103
YDL218W,-4.75968791894616,88.0098076510166
YNL134C,-2.18020946881203,85.53333001947
YKL096W-A,-2.21089449174945,83.2831949815203
YBL075C,-3.38296440213992,81.4177491490676
YKL163W,-2.37253743300781,76.4286290971868
YDR343C,-4.82909666831725,70.8076692686815
YGL263W,3.5834709704859,65.3267143556245
YMR058W,1.76670820311054,61.4593165120136
YDL037C,3.15609994677062,59.0925527088099
YLR042C,3.98335972532972,58.7777510304341
YMR118C,-4.46689147079448,58.4271999594062
YIR016W,-2.27697145628248,57.0684912068331
YPL186C,-2.72901227732393,54.3163915963612
YLR413W,1.90834327674615,54.1044938340175
YIL162W,3.18166464437677,53.9814879338999
YHR033W,2.67944823990875,49.080221299555
YNR069C,-1.99522033454704,46.4420485276625
YGL251C,-3.38950174492578,46.0848470636971
YDL039C,2.86712809510991,44.0189114529878
YKL107W,-2.37880644585033,43.9102547523047
YMR251W-A,-2.04003266740548,43.8401815068562
YAL049C,-1.25451999803223,42.734778718288
YGR287C,2.67345196997246,42.2826154841338
YOL143C,1.3578371128913,41.9697431023534
YNR068C,-1.99196091939738,41.9189498265747
YHR094C,4.74138114155679,41.265128399381
YJL016W,-2.13625097112851,38.2076369129007
YDL085W,-2.08535024244834,38.159506169594
YBR026C,-1.68586458719557,35.0201589202004
YBR014C,1.38746922648657,34.7359108770469
YCL027W,-2.87278277273441,34.3390193042043
YOR230W,-2.33221376046011,34.1196253314525
YGR087C,-1.65682129347157,34.0430518817294
YER054C,-2.12871047029042,34.0219563508482
YKL051W,-1.31760150718393,33.9381344057382
YHL035C,1.19125289935155,32.5178682411336
YDR518W,-1.60478447210301,32.1973430948479
YLR256W,-1.53783547293749,31.5871454391161
YDR508C,1.95413894436379,31.0699879739841
YLR438W,-1.38879366008898,30.0627385994179
YBR295W,-1.52968675563116,29.4230322019331
YOR173W,-1.3805109847681,29.4230322019331
YOL058W,-2.19962788411599,29.1457177847261
YML070W,1.48424431786817,28.9611918569359
YOL052C-A,-1.82010343269738,28.6144937361582
YIR038C,-2.17485311856806,28.4229059968167
YNL036W,-1.46335068630191,27.9081180957463
YPL036W,-1.80832395959655,27.8387837679312
YEL039C,-1.98355617724831,27.8222606096096
YKL050C,-1.61931445304752,27.8083555348486
YNL115C,-1.26880254277283,27.5093336799728
YHR018C,-2.35660459952261,27.4241657041445
YGL184C,-1.8676448850855,27.3246345527832
YNR019W,-1.17102965589661,26.4104424847648
YIL169C,2.21982395848012,26.3673164642908
YOR186W,-2.50374140865245,26.201970646387
YNL014W,-1.94283141968666,25.959581726258
