genes,logFC,logCPM,PValue,FDR
YHR092C,-1.92434296641123,6.26022203997621,2.77855911494818e-27,1.59767149109521e-23
RDN5-1,-3.9906443406996,4.4544605431333,1.54304998400778e-25,3.40727265863205e-22
YLR053C,1.85263483972326,5.25320974265399,1.7777074740689e-25,3.40727265863205e-22
YJR094C,2.12288339367068,6.40640878502357,4.4671595713957e-25,6.42154188388132e-22
YBR001C,1.24520936677183,7.69533558117526,2.62575062149297e-23,3.01961321471692e-20
YCL025C,1.30624381522923,6.0383374936599,1.88297681703324e-21,1.80451944965685e-18
YLL055W,-1.29742724575131,6.73798412504112,4.21115698070806e-21,3.45916466272448e-18
YLR136C,1.40503455579911,5.7021232710667,2.73659208595535e-19,1.96692556178041e-16
YPL265W,1.71079512044924,4.89952693111017,8.85633936245456e-18,5.65821681490152e-15
YDR508C,0.936681538474657,6.47732872265278,1.58343124908376e-17,9.10472968223164e-15
YPL187W,2.6223609065202,4.97466611142671,6.7888660147243e-17,3.5487254167877e-14
YNL270C,1.31845800396608,5.12081921878764,7.1772880716618e-16,3.43911720100461e-13
YDR248C,-1.02769712460761,6.39537417204271,4.09000057901769e-15,1.80903871764244e-12
YGR059W,1.45288373952843,3.80743253813261,1.06890856044819e-14,4.39016015898362e-12
YBR076W,1.92167360219216,3.51103719933138,1.66430336556602e-14,6.37982956800309e-12
YOR100C,1.16024572780829,6.72987739644265,2.08081757341208e-14,7.47793815444966e-12
YBR019C,1.97728692471455,3.87902074238257,7.77274781552278e-14,2.62901764348565e-11
YAR035W,1.48971680810306,8.14490964154297,1.83538208474552e-13,5.86302610404818e-11
YLR213C,1.17196222741569,5.14671919774509,1.40248781460486e-12,4.24437101788312e-10
YOR178C,1.43875066293209,7.75809287361794,1.75956797766477e-12,5.0587579357862e-10
YGR225W,1.10722190168429,4.50740024984716,3.57653852960548e-12,9.7929031167769e-10
YNL196C,2.29897706507596,3.30985627482962,7.85403609693784e-12,2.03790439192784e-09
YKL221W,1.14327856212805,4.4686342226469,8.15161756771138e-12,2.03790439192784e-09
YMR202W,-1.01461023181457,8.68947231275989,1.95789728385748e-11,4.69079557590856e-09
YGL001C,-1.32173485194827,7.45895121607513,2.24414401881435e-11,5.161531243273e-09
YML008C,-1.03992180218156,10.45625743256,2.39294179687943e-11,5.29208282002181e-09
YMR189W,-1.10218405496205,7.93842417367164,2.74180610412867e-11,5.83903151805180e-09
YNL134C,-0.942449472959721,7.93833571718612,4.2145161989387e-11,8.65481005139197e-09
YDL021W,0.734827101245193,6.73546459957962,5.04918104692789e-11,1.00113072482191e-08
TLC1,0.821577519020682,6.45490104977864,5.23521962237784e-11,1.00341709428909e-08
YFR023W,1.44035362759563,4.19608464865669,5.5497426777483e-11,1.02938775474364e-08
YPR192W,-1.15686282803198,6.20480494450541,6.16770860260339e-11,1.1082601395303e-08
YIR016W,-0.890324247733418,7.60664827222276,8.03123524101034e-11,1.32608600238801e-08
YJR115W,1.05257309357696,5.97535775185736,8.19226099875343e-11,1.32608600238801e-08
YPL272C,-2.11977430771482,8.45901380160622,8.28585046141476e-11,1.32608600238801e-08
YPL171C,-1.60969672656931,6.63890735008243,8.30245149321188e-11,1.32608600238801e-08
YER091C,-1.20185623598012,10.9773617085365,2.42560359823057e-10,3.76951910535832e-08
YGR174W-A,1.01444868230931,5.35847680163925,3.80826026975688e-10,5.76249909239528e-08
YPL058C,-3.75566287026496,7.99884156702058,4.02477710467063e-10,5.93396624406568e-08
YHR183W,-1.40393651767401,9.74276281919743,4.90796579935434e-10,7.05520083657186e-08
YEL057C,0.793597112752656,5.57105221904046,5.318746412803e-10,7.45921753015055e-08
YBR069C,1.56468821951362,3.07573421847635,5.44891890329833e-10,7.45982945094414e-08
YLR056W,-0.926093106724365,11.1653603871585,6.49578956157802e-10,8.68623022769154e-08
YGR060W,-1.42939346732088,11.4054097501312,7.53716531045919e-10,9.84970466707735e-08
YAR020C,-2.05901112381437,5.43350157486222,1.25074034012736e-09,1.57601724918013e-07
YGL170C,2.01819604372678,2.91509056143488,1.26081379934411e-09,1.57601724918013e-07
YER055C,-0.886038936733141,8.37035985797805,1.33595903658175e-09,1.63441797028618e-07
YNL074C,1.10990049969231,7.74071777199568,1.76626361298191e-09,2.11583661971791e-07
YMR169C,-1.19227822956427,6.58630016066779,1.90723738425858e-09,2.20837680884477e-07
YHR015W,1.50664552888966,4.87392010402659,1.92032765986502e-09,2.20837680884477e-07
YOR177C,0.841650308645173,5.19291233558899,2.47699764814236e-09,2.79269342682717e-07
YHR071W,-1.08205136982963,7.24656089599261,2.82636941013109e-09,3.12531232851034e-07
YFR020W,-1.05335554263004,6.20926445103954,2.91015113060584e-09,3.15723943414784e-07
YNL111C,-1.2230412905287,8.01273799324006,3.21744016381997e-09,3.42597795221571e-07
YOL064C,-1.02914932435954,7.76249386076065,3.95714170065879e-09,4.13701177796146e-07
YMR062C,-1.03867130877398,8.31632487011865,4.64990967265828e-09,4.77446082460448e-07
YOR378W,1.94208896385051,1.82158600871149,6.18465846827481e-09,6.2389098583474e-07
YLR273C,0.650751594020314,6.8494778504445,6.45183250538094e-09,6.3962132596449e-07
YGR294W,-2.43424523514509,1.4558355999952,6.6941270754601e-09,6.45978531455281e-07
