genes,HiT,LpH,Osm
YMR189W,-1.11194252789475,-0.630868219504917,-2.18377114972013
YER091C,-1.20617098457518,-0.788122580939667,-2.0639524347441
YGR060W,-1.4309259859165,-0.9982005574941,-1.31440841561745
YNL111C,-1.23771745505402,-0.979815269570326,-1.847575367111
YJL088W,-1.07344072895686,-0.619534301050266,-1.30908067754514
YDR047W,-0.728071805683906,-1.04616647703476,-2.17226968040481
YNL103W-A,-1.27340299098664,-0.97797422106157,-1.70586163149867
YML126C,-1.28909341480115,-0.863264616092961,-1.93796984774074
YHR007C,-1.4773848000615,-1.03484784700961,-1.84829936734593
YMR015C,-1.39327000552352,-0.76266618754194,-1.87634003856369
YGR175C,-1.28100970603034,-0.792442649588249,-1.68583130391359
YPL274W,-1.20905438886097,-0.993710393064925,-0.876937167127068
YER069W,-1.17224451364999,-0.655185428512253,-1.18958502290692
YNL280C,-1.30352414224885,-0.63140185100958,-1.23350373187005
YER044C,-1.24408945305703,-0.602719107748798,-1.42608831720997
YOL140W,-1.15869185801042,-0.951543365819402,-1.76368376176327
YNL104C,-0.888086697366657,-0.66088168826152,-0.924192710077297
YIR038C,-0.903844940082467,-0.668380406758961,-1.09980011800848
YBR118W,-0.906369572917001,-0.836521841653223,-1.45133901058439
YDR158W,-0.973343002529608,-0.971280667422456,-0.930246847447071
YKL006C-A,-0.674393381020792,-0.676343783778357,-1.0080360837602
YCL030C,-0.881861268111664,-0.665837887448932,-1.20019467552605
YNL239W,-0.771377937529764,-0.801971851503477,-1.27808247510419
YBR054W,-0.959645925785296,-0.867068949909065,-0.739401660616748
YMR238W,-0.601923908487649,-0.730087312143345,-1.95075607435316
YDR225W,-0.9141950747848,-0.843940752195632,-1.19060304713274
YDR155C,-0.832761143489292,-0.509042322690839,-1.07461173315892
YML028W,-0.596434642069085,-1.0843152291593,-0.747654585110445
YHR209W,-0.565138516284818,-0.764641101337361,-0.746764632192897
YLR044C,-0.596761380106462,-0.744583307115576,-0.77047531518242
YJL026W,-0.847096141686176,-0.752959030408282,-0.797147865952492
YBR147W,-0.512639792275807,-0.500875675916535,-0.931071481308684
YBR256C,-0.800427974268068,-0.561417884459755,-0.852267954681708
YGR201C,-0.843642086253573,-0.513645333220552,-0.832733226057635
YJL052W,-0.939438470808333,-1.15187463313101,-0.584297482451377
YIR037W,-0.585634296849034,-0.613336713069713,-0.755146626076094
YKL100C,-0.534580772577405,-0.680869892425702,-1.02019791584588
YDR525W-A,-0.695484254723873,-0.527457220207228,-0.707618355926072
YFL028C,-0.548866276161119,-0.700812052582092,-0.502250167616084
YPR028W,-0.687759889946336,-0.758502867961891,-0.696491879924056
YGR254W,-0.944165689504373,-0.732423583044391,-0.542934634888687
YCL012C,-0.521978609398506,-0.648344091189911,-0.755952815326739
YLL025W,-1.04173486945623,-0.654207170430285,-0.663920324903928
YPL092W,-0.609671671826332,-0.79909169996255,-0.569356703455036
