"","genes","logFC","logCPM","PValue","FDR"
"4224","YJL108C",4.16072134356206,6.54772691095966,2.52348001900686e-290,1.50071356730338e-286
"4225","YJL107C",4.24219979062361,6.98767286363604,2.13249315852733e-268,6.34096840688103e-265
"4287","YJL045W",-3.16519119073446,7.5362136256354,4.05825274359442e-113,8.04480968871866e-110
"4006","YNL040W",-2.39827417677639,6.36437475785734,2.37601310394396e-110,3.53253748228869e-107
"4508","YKL187C",-4.19425525909566,9.30518584111936,4.2435511682605e-105,5.04727975952904e-102
"2822","YPR192W",-2.19165468560676,6.70393557835368,8.18283964328144e-99,8.11055789309912e-96
"30","YDL218W",-4.11181263134592,7.6519893530554,1.56154197232085e-92,1.32664144419887e-89
"1956","YLR042C",3.38951056221679,6.47849111755624,2.80513343511454e-90,2.08526606732827e-87
"585","YDR343C",-4.6404521792122,5.79505713390101,3.98117285479354e-90,2.63067055193969e-87
"4533","YKL163W",-2.39875815343117,8.38037645791064,7.68700322984193e-89,4.57146082078699e-86
"3337","YBL075C",-3.39690551955976,10.832146879098,4.02551811590365e-86,2.17634147593446e-83
"3914","YNL134C",-2.121007685693,7.91459764004566,1.68456558677711e-83,8.34842628713622e-81
"4597","YKL096W-A",-2.20439307875012,10.6661618102142,2.84392373617661e-83,1.30098572761864e-80
"4947","YER062C",2.25694740544295,7.42550561652914,1.67938055302261e-71,7.13376867773249e-69
"3713","YBR295W",-2.26639963816072,7.24069913729254,1.7914286248542e-67,7.10241735467195e-65
"1322","YGL263W",3.55453092048245,3.59121772482516,2.22482190093972e-67,8.26938490305532e-65
"2456","YPL186C",-2.70011350879478,8.61594802097283,6.10481955109808e-67,2.13560952178707e-64
"5553","YIR016W",-2.24596352412093,7.59374268315176,1.31581727221861e-62,4.34731406549115e-60
"5660","YCR021C",-3.69179797053988,8.52771698913685,6.24939649928415e-60,1.95606110427594e-57
"5377","YIL162W",3.17508213961651,11.0801102787752,2.61724428759324e-57,7.7823758891585e-55
"3022","YMR058W",1.62770922791667,8.45382722114412,6.26720403376605e-56,1.70844704639198e-53
"220","YDL022W",2.95374762018495,9.86460939005119,6.32013368431539e-56,1.70844704639198e-53
"207","YDL037C",3.12692410465909,5.11647406842392,1.3408205691643e-55,3.46689561948701e-53
"4112","YNR069C",-2.04232920929816,6.11634450638121,5.01060121866367e-55,1.2415852269747e-52
"5171","YHR033W",2.65575852188122,7.95188354441028,1.04915908056046e-49,2.49573962083722e-47
"5873","YAL049C",-1.2779141631641,7.03286764618558,2.15572302528738e-48,4.93080185822463e-46
"4111","YNR068C",-1.99198974451345,5.53651101093441,5.90941524887749e-48,1.30160342537313e-45
"3229","YMR251W-A",-2.04263170076142,9.61948032238139,6.06530003010008e-47,1.28822640282161e-44
"206","YDL039C",2.85743893167122,6.69146198481598,5.26990710332865e-46,1.08069439805157e-43
"1852","YGR287C",2.67279040179495,6.35446100143771,8.67042790152165e-44,1.71876782434497e-41
"802","YOL143C",1.35648441959353,7.40808389173445,2.83821041184037e-43,5.44478623200474e-41
"160","YDL085W",-2.07726997526031,8.38787563474373,1.06634330046676e-40,1.98173237746119e-38
"4586","YKL107W",-2.01921390137513,6.71649818325103,6.28570551800977e-40,1.13276032471528e-37
"4790","YKR097W",2.34104193936705,7.51751671971062,5.02058884738477e-39,8.78160055158741e-37
"3436","YBR026C",-1.69832599788243,9.55633120446595,8.41706483620731e-39,1.430179559455e-36
"2316","YLR413W",1.47112305903102,5.5910915251177,9.14175604764041e-39,1.5101673115366e-36
"4308","YJL016W",-2.12547809682464,7.046208945799,1.098338440949e-37,1.76535640765505e-35
"2157","YLR256W",-1.41453525418452,7.65912153987847,1.82413230025097e-36,2.85476704989277e-34
"1168","YOR230W",-2.27974787795388,9.74645922968012,2.59286797266713e-36,3.95379123934652e-34
"3424","YBR014C",1.37705085110381,6.90668671882369,3.89704854710093e-36,5.79393692740231e-34
"4937","YER054C",-2.08220610129607,8.25743154484999,8.98259285716474e-36,1.30291413955021e-33
"3083","YMR118C",-2.56699490165288,6.94703516489316,3.46596976143807e-35,4.9076481360172e-33
"5096","YHL035C",1.18109316513487,6.42263733289001,8.45485919111462e-35,1.16932668859439e-32
"784","YOL160W",3.35406037115933,1.67546214270487,5.00881627040122e-34,6.76987053638092e-32
"3484","YBR072W",-3.05199623969275,12.6085779515682,1.36418695959958e-33,1.80284885527527e-31
"2956","YML008C",-1.55126932742333,10.3860016830141,4.2968741868035e-33,5.55511104106966e-31
"862","YOL083W",-1.38122240206503,7.57502208624517,5.07289035160631e-33,6.41882530234101e-31
"4645","YKL050C",-1.62642206710269,6.44767661849064,7.88481547238417e-33,9.76895783630597e-31
"4838","YEL039C",-1.9382459919447,5.60232961515058,1.45378973310615e-32,1.76442602913924e-30
"745","YDR508C",1.94291896619491,6.59101058887759,1.90637129791714e-32,2.26743802174264e-30
"1111","YOR173W",-1.38474208421974,8.56561761651394,2.4348763240742e-32,2.8392567645626e-30
"5576","YIR038C",-2.18377114972013,8.32074497891373,3.48291989118612e-32,3.98325472940074e-30
"2896","YML070W",1.4834546679508,8.40725014417152,1.52642607572157e-31,1.71276525892757e-29
"892","YOL052C-A",-1.80556984865045,10.3859463607142,4.3306556557356e-31,4.76933503419622e-29
"886","YOL058W",-2.15432829810931,10.1042111384802,7.97566760791676e-31,8.6238718662329e-29
"1315","YOR386W",-1.50074889831507,5.70880129926786,1.2012803167167e-30,1.27571679348468e-28
"4010","YNL036W",-1.47109049293985,10.6175915548636,1.34236229696626e-30,1.4005313298348e-28
"2603","YPL036W",-1.80852224189029,8.6451640830742,1.37462776864852e-30,1.40946747244013e-28
"1397","YGL184C",-1.87664682053366,7.3591912220487,2.84527892425708e-30,2.86794470551811e-28
"5154","YHR018C",-2.36369079896658,9.40392616404233,3.86752530411001e-30,3.8333621639237e-28
"3933","YNL115C",-1.26805262908473,8.1106277445839,1.07354152401105e-29,1.04661499070389e-27
"5934","YAR020C",-4.61280385709394,4.91631016044549,2.73890789233081e-29,2.62714277995022e-27
"3178","YMR202W",-1.57560140806605,8.6017180128004,9.92442500951618e-29,9.36834214787186e-27
"5492","YIL045W",-1.59693379605622,7.56190141449361,1.30552409666624e-28,1.21311746919909e-26
"762","YDR524C-B",-1.36543229970079,9.6005209071315,6.71252491541276e-28,6.14144394953226e-26
"4868","YEL011W",-1.73236594901019,8.06969489606263,1.23607103538422e-27,1.11377491627727e-25
"4031","YNL014W",-1.97425315734904,7.79637975741163,2.11089914135067e-27,1.87365928262873e-25
"4061","YNR019W",-1.15824440672835,7.15777539996969,2.69402996557755e-27,2.35608767724848e-25
"79","YDL168W",1.14067018934294,7.98920655642941,2.9362293272439e-27,2.53068924769847e-25
"1480","YGL096W",-1.95594872797461,6.48198731719665,3.02706080373774e-27,2.56080496940303e-25
"5374","YIL165C",-2.12145032865599,4.78313758915882,3.05729195943526e-27,2.56080496940303e-25
"795","YOL151W",1.94463408848784,8.09791174871532,3.84688898321942e-27,3.17742344211193e-25
"5642","YCR005C",1.89857687949824,9.09198515930422,4.3047978235778e-27,3.50693598038591e-25
"5787","YFL011W",-3.556038023376,4.56334717604705,4.81324802732278e-27,3.86816027276873e-25
"4035","YNL009W",-1.233555188633,7.39126974330323,1.75250901382667e-26,1.38962281403029e-24
"2790","YPR160W",-1.78702460663401,7.96776062718291,1.82122844229964e-26,1.42511125609946e-24
"978","YOR034C",-1.31512552790768,6.118035342696,2.22662558930735e-26,1.71970680254686e-24
"1631","YGR060W",-2.0639524347441,11.1271872974661,3.62065394555541e-26,2.76051654028436e-24
"1423","YGL157W",1.48251918462017,4.22194094404793,5.94954607456578e-26,4.47872791208136e-24
"5484","YIL053W",2.33306675572994,8.85828914622504,6.92452801294752e-26,5.14752101162486e-24
"1614","YGR044C",-1.4831565240361,7.4852839945354,1.01044857780533e-25,7.41868850889915e-24
"3629","YBR214W",-1.47812727384615,8.74599389251567,1.08209890741786e-25,7.84785634440731e-24
"5375","YIL164C",-2.1246362869629,5.29672234034388,1.312186430615e-25,9.40189482273178e-24
"2971","YMR006C",-1.59047345326176,7.62315762821523,6.86133521549451e-25,4.85766196744594e-23
"3171","YMR196W",-1.36609280591356,8.75266708703551,1.05829250112793e-24,7.40431235789155e-23
"4470","YJR155W",-0.99471567301387,6.13134507854458,1.07998628255225e-24,7.46823072364908e-23
"4878","YER001W",-0.990842029411417,6.64697420762955,1.86537889318001e-24,1.2751043997404e-22
"2083","YLR178C",-1.57247102885096,8.29158969366672,2.31796347905258e-24,1.5664691829461e-22
"610","YDR368W",1.08295626954729,7.24061703681654,3.20833184678897e-24,2.14381454975888e-22
"5108","YHL024W",-1.08824364898224,8.60254880887493,6.94741445248546e-24,4.59069708321456e-22
"4562","YKL134C",0.956802796468199,6.68351402689524,1.60538657958811e-23,1.04914659217698e-21
"3060","YMR096W",-2.45983759753397,7.32512829944788,3.55389440579031e-23,2.29728369904728e-21
"1970","YLR056W",-1.31046650011233,11.0955517860715,5.13604428619837e-23,3.28430702903459e-21
"755","YDR518W",-1.08838181957829,5.19384410502163,8.99971510447184e-23,5.69375592832915e-21
"5365","YHR216W",2.12686303457403,6.50621722024176,1.00856354107388e-22,6.31360776712247e-21
"1323","YGL262W",2.94190327986193,3.01906202268053,1.58644108510486e-22,9.82767201366522e-21
"2634","YPL004C",-1.57878273724619,10.2661552480331,2.45199655990814e-22,1.50330139605914e-20
"774","YDR536W",5.32167417834654,10.4434882017742,2.94621183830678e-22,1.78416517906085e-20
"1901","YLL016W",-0.928773035263299,6.43291093458817,2.97010850390153e-22,1.78416517906085e-20
"3103","YMR136W",-1.89660840324011,8.61278225154319,3.14240161291957e-22,1.86878623920327e-20
"5092","YHL040C",2.74590840812053,7.86248921541093,3.73996127255746e-22,2.20213363246527e-20
"1526","YGL047W",-1.4962246238819,5.23885952507245,4.05645034271552e-22,2.36506962628718e-20
"3560","YBR147W",-1.31440841561745,6.611675024708,9.36735564204375e-22,5.40851106827516e-20
"2049","YLR136C",1.79346702509337,5.90710510728177,9.88613402177323e-22,5.65315759879667e-20
"2249","YLR346C",-2.50360317037529,4.67164245403381,1.13387858937557e-21,6.42207235334908e-20
"3703","YBR285W",-1.14842947609553,6.01914936314215,3.33573345814117e-21,1.87147234675146e-19
"4809","YEL065W",1.95491905116863,6.79932280765226,4.34685364825271e-21,2.41595688281859e-19
"5524","YIL013C",-0.929025235027877,6.29257574557404,6.43864562050457e-21,3.54542828751303e-19
"4783","YKR091W",-1.48192531125661,6.7713051760655,8.75846345230875e-21,4.77858551842937e-19
"1748","YGR180C",-1.83975489457525,9.68418871566843,8.99105628095856e-21,4.86089197298733e-19
"5594","YCL049C",0.898941606604219,6.87107936567578,1.36654202508727e-20,7.32146434521983e-19
"1727","YGR161C",-2.06056280291435,8.69480275865238,1.45723609660479e-20,7.73290221846496e-19
"1655","YGR087C",-1.03838948795343,6.96086517524547,1.46934244272161e-20,7.73290221846496e-19
"2339","YLR438W",-1.23190450182356,6.2705257987147,1.91300637683504e-20,9.97951659915614e-19
"2643","YPR005C",1.38671986865359,7.085023858288,3.51169895139308e-20,1.81600640555953e-18
"584","YDR342C",-1.18600923958787,8.26038619467337,3.84886180724576e-20,1.97320527307677e-18
"5864","YAL061W",-1.36709792705822,7.91838267238253,4.86453263454516e-20,2.4725962032171e-18
"4463","YJR148W",-1.11574350633786,7.93085060079697,5.06671584134936e-20,2.55353890750039e-18
"92","YDL154W",-1.29543138837448,5.08513910575558,5.40992913484944e-20,2.70360071974367e-18
"5188","YHR049W",1.78297046487858,6.43659575473616,7.54064082169542e-20,3.73701591388522e-18
"293","YDR055W",-1.11090373672969,9.3835367497864,7.87757742072584e-20,3.87173164636831e-18
"5269","YHR126C",-2.81605805884339,3.75179389048041,8.10266005064793e-20,3.94971469845928e-18
"3059","YMR095C",-1.64569583158649,5.03307278018103,9.3024324753131e-20,4.49768828704773e-18
"4591","YKL103C",-1.22711484845917,7.71196204048684,1.0914918647803e-19,5.23475977407132e-18
