W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number	Coverage	MW
YALI1_F32597g	Q6C0E9	YALI0F25289g1_1	75.85875341	87.15360505	91.64303227	75.62524474	59.93582871	57.29092912	74.11467335	39.11027652	46.56642333	55.52361729	67.26106503	uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein		63	"703,000,030,517,578"
YALI1_D28273g	Q6C864	YALI0D22352g1_1	64.18385586	76.6526254	92.5696566	76.38990944	72.95915837	66.21149261	73.09579734	38.16711353	48.37240562	48.15614502	45.27935845	uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein		69	70
YALI1_D10458g	Q6C9V0	YALI0D08184g1_1	58.43616298	66.05994738	73.82143524	67.83212249	60.69490342	58.01650673	61.33960543	31.82763533	39.43561066	37.259536	43.09438995	uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein		61	"701,999,969,482,422"
YALI1_E16731g	Q99170	YALI0E13706g1_1	32.84678549	49.88391328	30.28313436	27.05162439	39.31700813	37.01039662	43.31929456	40.09068727	35.01533408	33.64215509	30.59189875	uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins		52	"734,000,015,258,789"
YALI1_A00102g	Q6CIA7	YALI0A00132g1_1	38.19805606	51.1426268	56.40475688	48.60482427	40.94230978	32.12232747	29.78769988	28.4760964	38.08717292	48.97719514	52.56363828	uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein		60	66
YALI1_D11984g	Q6C9P6	YALI0D09361g1_1	49.84584003	59.60886667	43.883875	46.03370439	39.94050089	29.78188368	34.93856154	43.37696589	35.87309951	52.70208182	56.56128649	uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase	4.2.1.-	60	"846,999,969,482,422"
YALI1_E17935g	Q6C5V2	YALI0E14949g1_1	14.26023885	12.9950854	15.77341297	15.10712141	6.460045597	4.958612264	7.737096089	7.396418485	6.971334989	13.54532544	15.20155432	uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase	4.2.1.-	35	"85,5"
YALI1_E15659g	Q6C638	YALI0E12683g1_1	64.77669624	97.93924661	111.40085	81.7673104	43.22871301	48.28112794	47.65699786	81.47602622	89.38647988	109.7785823	127.0548393	uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase		73	"855,999,984,741,211"
YALI1_B19844g	P34229	YALI0B15059g1_1	10.39197475	13.01403372	15.68618984	13.10635924	9.20383211	8.755862317	9.044859797	12.12734408	12.50405143	15.52188714	20.82305626	"uniprot|P34229 Yarrowia lipolytica YALI0B15059g FAS1 Fatty acid synthase subunit beta, putative"	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14	50	231
YALI1_E18441g	F2Z6I5	YALI0E15378g1_1	56.60362315	65.80068961	62.01153819	48.17570801	48.13814151	37.04097282	32.92275978	32.36646878	35.6667118	42.84635235	42.92526243	"uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase"		58	"970,999,984,741,211"
YALI1_B28659g	Q6CDQ7	YALI0B22066g1_1	47.30512379	47.87878793	43.61301717	43.4517823	29.71133648	21.52246677	28.50637542	46.66378152	34.71540733	55.34508362	68.1960789	"highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"	3.6.3.6	37	"989,000,015,258,789"
YALI1_C12642g	O59949	YALI0C09141g1_1	140.3259687	141.2211261	156.8916371	129.0210583	121.7913964	134.3832659	128.4258443	128.7385249	117.7484505	175.4146643	165.1994238	uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha)		73	"499,000,015,258,789"
YALI1_C15991g	Q6CC91	YALI0C11407g1_1	10.73591278	8.506366813	9.505793324	10.24874245	7.596107347	6.953605585	7.898540714	11.05667579	9.656935886	11.28144082	15.0426095	uniprot|Q6CC91 Yarrowia lipolytica YALI0C11407g ACC1 Acetyl-CoA-carboxylase		45	"250,800,003,051,758"
YALI1_B26112g	Q6CDZ4	YALI0B19998g1_1	11.34035703	8.388168643	10.45525614	9.206971734	4.678331564	5.210476527	7.77437549	14.02307975	11.07693521	13.45793851	17.02301592	similar to uniprot|Q12680 Saccharomyces cerevisiae YDL171c GLT1 glutamate synthase (NAPDPH) (GOGAT		45	236
YALI1_F14495g	O74935	YALI0F10857g1_1	28.51556287	28.40619846	36.28003651	23.41191529	17.19400155	19.62119313	17.84548411	19.84527575	17.33292711	16.51190111	18.53086238	uniprot|O74935 Yarrowia lipolytica YALI0F10857g POX2 Fatty-acyl coenzyme A oxidase	1.3.3.6	52	"78,5"
YALI1_C32886g	F2Z630	YALI0C23859g1_1	9.850883735	14.06391518	13.08751713	9.916453702	10.15954079	7.137600456	9.45370809	1.86119013	1.014936784	0.944024288	1.331877849	uniprot|O74938 Yarrowia lipolytica YALI0C23859g POX5 (=ACO5) Fatty-acyl coenzyme A oxidase		43	"781,999,969,482,422"
YALI1_E07899g	Q6C6T0	YALI0E06567g1_1	6.29730948	6.503019931	13.39996388	3.684792289	1.337516012	1.209459813	0.923380934	13.12687838	10.05678195	7.517111386	16.00435712	uniprot|Q6C6T0 Yarrowia lipolytica YALI0E06567g POX6 Fatty-acyl coenzyme A oxidase		43	"77,5"
YALI1_E32603g	F2Z627	YALI0E27654g1_1	4.056682127	5.080246943	7.839330042	6.423346016	0.417959416	0.293638008	0.388921743	7.635651757	6.103999292	8.181496905	14.16823272	uniprot|O74937 Yarrowia lipolytica YALI0E27654g POX4 Fatty-acyl coenzyme A oxidase		34	"790,999,984,741,211"
YALI1_F22436g	Q6C1F3	YALI0F16819g1_1	127.9576628	132.1375794	157.8049923	97.98458868	149.5453432	157.2761194	132.5174277	96.8016994	121.8349461	131.0560979	95.19587799	uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase	4.2.1.11	69	"472,000,007,629,395"
YALI1_E10587g	Q6C6K7	YALI0E08756g1_1	3.402368213	8.275904573	6.092696976	3.004313899	6.292258288	5.95841699	2.536845448	1.248582308	2.118128322	1.970137069	0	uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation		27	"252,999,992,370,605"
YALI1_B05364g	Q6CFT7	YALI0B03982g1_1	86.76969194	98.08996675	114.13725	84.36701248	95.26765756	88.17072794	81.50789626	71.31760617	82.26673366	86.54833268	89.30655669	"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	3.6.3.14	79	"544,000,015,258,789"
YALI1_A00406g	Q6CI99	YALI0A00352g1_1	30.8017539	38.57352172	50.06282711	38.75185856	29.99310353	30.16236242	34.72975661	39.22124832	41.78631928	37.96178912	49.79880269	uniprot|Q6CI99 Yarrowia lipolytica YALI0A00352g EFT1 Translation elongation factor eEF2		69	"931,999,969,482,422"
