OG,sce,kma,yli
OG0000653,,,YALI1_A19549g
OG0000659,,,YALI1_B24638g
OG0000671,YPL091W,,
OG0000672,,,YALI1_F25035g
OG0000680,,KMXK0A00670,YALI1_F38756g
OG0000684,YBR196C,,
OG0000687,,KMXK0A00820,
OG0000691,,,YALI1_F06896g
OG0000696,YBR204C,,
OG0000706,,,YALI1_C23755g
OG0000707,,,YALI1_A03300g
OG0000712,YJR041C,,
OG0000718,,,YALI1_F29038g
OG0000720,YEL038W,,
OG0000732,,KMXK0A01630,
OG0000742,,KMXK0A01840,
OG0000748,YGL068W,,
OG0000753,,KMXK0A02050,
OG0000757,YKL193C,,
OG0000768,YOR150W,,
OG0000771,YJL080C,,
OG0000794,,,YALI1_A16509g
OG0000805,,,YALI1_C09072g
OG0000807,,,YALI1_D24626g
OG0000814,,,YALI1_E04359g
OG0000824,,,YALI1_D14628g
OG0000827,,,YALI1_D21511g
OG0000830,,,YALI1_B20153g
OG0000831,,,YALI1_B20243g
OG0000834,,,YALI1_B09258g
OG0000838,,,YALI1_F30647g
OG0000839,,,YALI1_B09279g
OG0000840,,KMXK0A03510,
OG0000842,,KMXK0A03540,YALI1_E13428g
OG0000844,YGR264C,,
OG0000851,,,YALI1_D25616g
OG0000858,,,YALI1_D06195g
OG0000861,,,YALI1_C25629g
OG0000864,YGR001C,,
OG0000875,,,YALI1_D03380g
OG0000881,,,YALI1_A04119g
OG0000889,,,YALI1_F10616g
OG0000903,YJL166W,,
OG0000915,YJL183W,KMXK0A04920,
OG0000926,,,YALI1_F27132g
OG0000927,,,YALI1_F26860g
OG0000929,,,YALI1_D05873g
OG0000930,,,YALI1_E03220g
OG0000931,,,YALI1_E28599g
OG0000934,,,YALI1_C15021g
OG0000950,YDR404C,,
OG0000954,,,YALI1_E19494g
OG0000983,YGL054C,,
OG0000985,,KMXK0A06270,
OG0000986,,KMXK0A06280,
OG0001007,,,YALI1_C22857g
OG0001016,,KMXK0A06690,
OG0001031,,,YALI1_C00913g
OG0001032,,,YALI1_B26517g
OG0001038,,,YALI1_B27454g
OG0001048,,,YALI1_E29665g
OG0001050,YNL253W,,
OG0001055,YNL259C,,
OG0001064,YNL265C,,
OG0001069,,,YALI1_B08540g
OG0001076,,,YALI1_D23067g
OG0001088,,,YALI1_C18892g
OG0001093,YCL038C,,
OG0001100,,,YALI1_E31724g
OG0001101,,,YALI1_D33780g
OG0001106,YCL055W,,
OG0001108,,,YALI1_F37963g
OG0001111,YGL256W,,
OG0001113,,,YALI1_F34870g
OG0001116,YER148W,,YALI1_B29977g
OG0001117,,,YALI1_D17620g
OG0001123,YER142C,,
OG0001130,,,YALI1_E36437g
OG0001140,,,YALI1_F03118g
OG0001160,YJL039C,,
OG0001169,YLL004W,,
OG0001170,YJL003W,,
OG0001175,,,YALI1_D30459g
OG0001176,YLR220W,,
OG0001183,,,YALI1_D29831g
OG0001186,,,YALI1_E02231g
OG0001187,,,YALI1_E02203g
OG0001190,,KMXK0B01680,
OG0001191,,,YALI1_E02432g
OG0001192,,KMXK0B01730,
OG0001201,YER180C-A,,
OG0001224,YIL156W-B,,
OG0001226,,,YALI1_E22238g
OG0001229,YGL115W,,
OG0001237,YBR236C,,
OG0001238,,,YALI1_C06917g
OG0001246,,,YALI1_D19354g
OG0001249,,,YALI1_B21562g
OG0001250,,KMXK0B02720,YALI1_F06351g
OG0001254,,,YALI1_D17899g
OG0001257,,,YALI1_C08242g
OG0001267,,,YALI1_E11341g
OG0001269,YGR155W,,
OG0001272,YBL026W,,
OG0001288,YMR244C-A,,
OG0001292,YOR311C,,
OG0001293,,,YALI1_B01628g
OG0001315,YOL033W,,
OG0001316,,,YALI1_E38677g
OG0001318,,,YALI1_F08705g
OG0001321,,,YALI1_F08757g
OG0001324,,,YALI1_F05137g
OG0001327,,,YALI1_D17051g
OG0001337,YDL090C,,
OG0001345,,,YALI1_B29505g
OG0001346,,,YALI1_F15017g
OG0001369,,,YALI1_F28146g
OG0001371,,,YALI1_B18134g
OG0001372,,KMXK0B04530,YALI1_F06466g
OG0001376,,,YALI1_F37892g
OG0001399,,,YALI1_E16451g
OG0001400,,,YALI1_E16493g
OG0001407,YGL186C,,YALI1_D09453g
OG0001417,,,YALI1_F35907g
OG0001420,,,YALI1_F29944g
OG0001424,YER049W,,YALI1_B27500g
OG0001427,,KMXK0B05370,
OG0001438,,,YALI1_E35734g
OG0001455,,,YALI1_D05956g
OG0001457,YOR136W,,
OG0001461,,,YALI1_C20953g
OG0001465,,,YALI1_D08734g
OG0001472,YOR126C,,
OG0001474,YDR374C,,
OG0001483,,,YALI1_E39284g
OG0001484,YNL326C,,
OG0001487,,,YALI1_C25979g
OG0001490,,,YALI1_A15722g
OG0001493,YOL147C,,
OG0001496,YDL103C,,
OG0001499,,,YALI1_A08175g
OG0001500,YDL100C,,
OG0001505,,,YALI1_F37463g
OG0001508,,,YALI1_D16656g
OG0001520,,,YALI1_D35593g
OG0001527,YGR195W,,YALI1_D08715g
OG0001529,,,YALI1_A21345g
OG0001535,,,YALI1_F09803g
OG0001536,,,YALI1_A01766g
OG0001542,,,YALI1_A14259g
OG0001546,YMR185W,,
OG0001549,,,YALI1_D34043g
OG0001555,YDL215C,,
OG0001556,,,YALI1_D31823g
OG0001565,,,YALI1_A03964g
OG0001570,,,YALI1_C24081g
OG0001576,,,YALI1_E17184g
OG0001582,,,YALI1_D26051g
OG0001588,YOR228C,,
OG0001602,YOR210W,,YALI1_B06735g
OG0001603,,,YALI1_B06745g
OG0001625,,,YALI1_A07712g
OG0001630,YJR065C,,
OG0001632,,,YALI1_A07730g
OG0001634,,,YALI1_D31672g
OG0001635,,,YALI1_D31568g
OG0001644,,,YALI1_E19647g
OG0001651,YGR057C,,
OG0001656,,,YALI1_A12302g
OG0001659,,KMXK0C00960,
OG0001660,YKL119C,,
OG0001661,YKL120W,,
OG0001666,,,YALI1_C00293g
OG0001672,YKL137W,,
OG0001675,,,YALI1_B29446g
OG0001680,,,YALI1_F07181g
OG0001681,,,YALI1_E08114g
OG0001689,YNL010W,,
OG0001690,YNL011C,,
OG0001705,,KMXK0C01780,
OG0001709,,,YALI1_F15817g
OG0001714,YDR333C,,
OG0001715,YHR085W,,
OG0001730,YGR183C,,
OG0001743,,,YALI1_B24424g
OG0001746,YLL007C,,
OG0001747,YLL006W,,
OG0001753,,KMXK0C02420,
OG0001759,YKR070W,,
OG0001760,,,YALI1_A01505g
OG0001761,YKR071C,,YALI1_C08065g
OG0001762,,,YALI1_F21315g
OG0001770,YOR067C,,
OG0001779,,,YALI1_F27574g
OG0001781,,,YALI1_F33951g
OG0001786,YER165W,,
OG0001790,,,YALI1_F07429g
OG0001792,YGL171W,,
OG0001801,YPL178W,,
OG0001803,,,YALI1_C19840g
OG0001810,,,YALI1_F30559g
OG0001811,,,YALI1_F13719g
OG0001814,,,YALI1_B16504g
OG0001822,YPL059W,,
OG0001832,,KMXK0C03800,
OG0001836,YNL083W,,
OG0001837,,,YALI1_E13677g
OG0001850,YLR014C,,
OG0001856,,,YALI1_E14132g
OG0001864,,KMXK0C04270,
OG0001866,,,YALI1_D14329g
OG0001874,,,YALI1_D08151g
OG0001880,,,YALI1_D25250g
OG0001893,YOR261C,,
OG0001909,,,YALI1_C02053g
OG0001914,,,YALI1_B01813g
OG0001918,,,YALI1_F36178g
OG0001919,YDR243C,,
OG0001920,,,YALI1_F36706g
OG0001921,,,YALI1_F27667g
OG0001929,,,YALI1_C07816g
OG0001930,,KMXK0C05240,
OG0001933,,,YALI1_C04328g
OG0001936,YML036W,,
OG0001943,,,YALI1_A12403g
OG0001953,,,YALI1_D00449g
OG0001955,,KMXK0C05620,
OG0001957,,,YALI1_F26692g
OG0001960,,,YALI1_E02290g
OG0001963,,,YALI1_E29433g
OG0001967,,KMXK0C05810,
OG0001969,YOR357C,,
OG0001973,,,YALI1_A07575g
OG0001975,YAL044W-A,,
OG0001976,YAL046C,,
OG0001981,,KMXK0C06000,
OG0001982,,,YALI1_B13483g
OG0001987,YGL169W,,YALI1_E11630g
OG0001990,,KMXK0C06140,
OG0002013,,,YALI1_B13948g
OG0002019,YEL051W,,
OG0002023,,,YALI1_C02152g
OG0002025,,KMXK0C06690,
OG0002034,,,YALI1_D29335g
OG0002050,YGL238W,,
OG0002061,YKR097W,,YALI1_C24367g
OG0002064,,,YALI1_A00789g
OG0002066,,,YALI1_B05520g
OG0002073,,,YALI1_F30254g
OG0002089,,,YALI1_F21279g
OG0002094,YGR016W,,
OG0002105,YMR127C,,
OG0002110,,,YALI1_F36966g
OG0002118,,,YALI1_F24359g
OG0002121,,KMXK0D01170,YALI1_F10342g
OG0002124,,,YALI1_E33056g
OG0002127,YGR157W,,
OG0002128,,,YALI1_E07306g
OG0002136,,,YALI1_E40144g
OG0002138,YDR041W,,
OG0002141,,KMXK0D01480,YALI1_F15533g
OG0002143,,,YALI1_B15180g
OG0002146,,,YALI1_D18408g
OG0002149,,,YALI1_E12295g
OG0002152,YDR115W,,
OG0002168,,,YALI1_B08438g
OG0002171,,,YALI1_B11200g
OG0002184,YOR168W,,
OG0002190,,,YALI1_C25560g
OG0002197,,,YALI1_D08339g
OG0002199,YJL109C,,YALI1_E34933g
OG0002209,YDR336W,,
OG0002211,,,YALI1_F28453g
OG0002213,,,YALI1_D06311g
OG0002226,,,YALI1_C31971g
OG0002233,YJL012C,,
OG0002234,YJL011C,,
OG0002237,,,YALI1_C14273g
OG0002240,YGL159W,,
OG0002250,,,YALI1_C08600g
OG0002253,,KMXK0D03430,
OG0002256,,,YALI1_E12103g
OG0002258,,,YALI1_E08828g
OG0002261,,,YALI1_F17756g
OG0002279,YKL024C,,
OG0002282,,,YALI1_F17004g
OG0002283,,,YALI1_D31083g
OG0002288,YKL047W,,
OG0002291,,,YALI1_D35190g
OG0002298,,,YALI1_D00996g
OG0002299,,,YALI1_F05979g
OG0002301,YER074W-A,,
OG0002304,,KMXK0D04350,
OG0002311,YMR211W,,
OG0002314,YMR212C,,
OG0002316,,,YALI1_E03163g
OG0002318,,,YALI1_C28147g
OG0002322,YLR447C,,
OG0002324,,,YALI1_E13579g
OG0002327,,,YALI1_B15275g
OG0002335,YEL004W,,
OG0002336,,,YALI1_E08021g
OG0002340,,,YALI1_A20063g
OG0002352,YJR143C,,
OG0002355,YJR141W,,
OG0002358,,,YALI1_D01123g
OG0002361,YJR135W-A,,
OG0002364,YJR133W,,
OG0002366,,,YALI1_E01657g
OG0002367,YHR192W,,
OG0002371,,KMXK0D05380,
OG0002375,,,YALI1_B17908g
OG0002383,,KMXK0D05590,
OG0002384,,,YALI1_D05320g
OG0002387,,KMXK0D05640,
OG0002392,,,YALI1_E40691g
OG0002393,,,YALI1_C17932g
OG0002400,,,YALI1_C30181g
OG0002421,,KMXK0D06230,
OG0002425,YDR434W,,
OG0002427,,,YALI1_D07162g
OG0002437,,,YALI1_B20521g
OG0002440,,,YALI1_F09282g
OG0002456,,,YALI1_F35656g
OG0002457,,,YALI1_E40305g
OG0002460,,,YALI1_B21208g
OG0002464,,,YALI1_D15214g
OG0002487,,,YALI1_B27570g
OG0002497,YOR332W,,
OG0002498,,,YALI1_F25852g
OG0002510,,,YALI1_F30903g
OG0002511,,KMXK0E01380,
OG0002522,,KMXK0E01560,
OG0002551,YGR028W,,
OG0002552,,,YALI1_D20164g
OG0002554,YGR024C,,
OG0002555,,,YALI1_E12244g
OG0002557,,KMXK0E02210,
OG0002562,,,YALI1_C21682g
OG0002566,,,YALI1_E14824g
OG0002569,,,YALI1_F04185g
OG0002571,,,YALI1_E19172g
OG0002574,,,YALI1_F18897g
OG0002577,YDR013W,,
OG0002579,,,YALI1_B11648g
OG0002580,YKL167C,,
OG0002585,,KMXK0E02630,
OG0002587,,KMXK0E02690,
OG0002593,,,YALI1_F37540g
OG0002594,YGR061C,,
OG0002599,,,YALI1_E35580g
OG0002604,,,YALI1_C07451g
OG0002607,,KMXK0E03090,
OG0002609,,,YALI1_C28166g
OG0002611,,,YALI1_E01623g
OG0002621,,,YALI1_F01696g
OG0002625,,KMXK0E03360,YALI1_F18152g
OG0002640,,,YALI1_B21466g
OG0002641,,,YALI1_F12080g
OG0002654,,,YALI1_F28744g
OG0002659,,,YALI1_B23798g
