OG,sce,kma
OG0000604,YPL092W,KMXK_0A00530
OG0000693,YNL040W,
OG0000699,,KMXK_0A02180
OG0000739,YEL011W,
OG0000753,,KMXK_0A03210
OG0000774,,KMXK_0A03540
OG0000802,YHR018C,
OG0000840,YKL178C,
OG0000939,,KMXK_0A06630
OG0001008,YLR178C,
OG0001010,YCL027W,
OG0001026,YDR525W-A,
OG0001055,,KMXK_0B00530
OG0001115,,KMXK_0B01680
OG0001168,,KMXK_0B02650
OG0001172,YPR160W,KMXK_0B02720
OG0001207,YLR056W,
OG0001212,YMR244W,
OG0001223,YBR018C,
OG0001339,YGR127W,
OG0001349,YER044C,
OG0001356,YHR007C,
OG0001416,YML128C,
OG0001485,YNL142W,
OG0001490,YFL014W,
OG0001558,,KMXK_0C00790
OG0001563,YMR232W,
OG0001570,,KMXK_0C00990
OG0001597,YCL009C,
OG0001600,YNL014W,
OG0001610,YJL088W,
OG0001632,YJL026W,
OG0001635,YGR175C,
OG0001686,,KMXK_0C02810
OG0001710,YGL180W,
OG0001711,YGL184C,
OG0001720,YMR196W,
OG0001724,YPR192W,KMXK_0C03420
OG0001796,YPL170W,
OG0001818,YCR061W,
OG0001858,YMR250W,
OG0001888,YAL049C,
OG0001916,,KMXK_0C06530
OG0001927,,KMXK_0C06690
OG0001928,YML008C,
OG0001966,,KMXK_0C07290
OG0002026,YLL028W,
OG0002029,YLL026W,
OG0002030,YHL024W,
OG0002034,YBR056W,
OG0002059,,KMXK_0D01720
OG0002092,YNL200C,
OG0002236,YPR184W,
OG0002271,,KMXK_0D05590
OG0002329,,KMXK_0D06580
OG0002397,,KMXK_0E01380
OG0002403,YGL047W,
OG0002422,YLR438W,
OG0002473,,KMXK_0E02630
OG0002483,YGR060W,
OG0002494,,KMXK_0E03090
OG0002512,,KMXK_0E03360
OG0002618,YLR142W,
OG0002729,YDL124W,
OG0002752,,KMXK_0F01200
OG0002767,YHR137W,
OG0002771,YMR015C,
OG0002881,YNL115C,
OG0002888,YNL111C,
OG0002978,,KMXK_0F05010
OG0002990,YGR225W,
OG0003021,,KMXK_0G00180
OG0003022,,KMXK_0G00240
OG0003044,YJR008W,
OG0003099,YIL099W,
OG0003100,YNL036W,KMXK_0G01510
OG0003101,YIL101C,
OG0003125,YJR109C,
OG0003172,YKL051W,
OG0003180,YNL280C,
OG0003239,YOL140W,
OG0003357,YER069W,
OG0003442,,KMXK_0H03090
OG0003472,,KMXK_0H03570
OG0003502,,KMXK_0H04040
OG0003516,,KMXK_0H04290
OG0003525,,KMXK_0H04420
OG0003526,,KMXK_0H04430
