OG,sce,kma,yli
OG0000670,,,YALI1_E28779g
OG0000683,,KMXK0A00740,
OG0000707,,KMXK0A01160,
OG0000732,YLR303W,,
OG0000754,,KMXK0A02060,
OG0000841,,KMXK0A03520,
OG0000874,,KMXK0A04110,
OG0000904,YJL167W,,
OG0001007,,KMXK0A06580,
OG0001132,YGL026C,,
OG0001138,,KMXK0B00650,
OG0001210,,KMXK0B02070,
OG0001211,,KMXK0B02110,
OG0001226,,KMXK0B02340,
OG0001241,,KMXK0B02570,
OG0001244,YNR043W,,
OG0001252,,KMXK0B02770,
OG0001261,,KMXK0B02910,
OG0001348,,KMXK0B04170,
OG0001351,,,YALI1_E04023g
OG0001356,YBR249C,,
OG0001396,,KMXK0B04860,
OG0001402,,KMXK0B04960,
OG0001404,,KMXK0B04980,
OG0001430,YER044C,,
OG0001465,YOR130C,,
OG0001591,,KMXK0B08090,
OG0001620,,KMXK0C00360,
OG0001621,,KMXK0C00370,
OG0001658,,KMXK0C00950,
OG0001690,,KMXK0C01530,
OG0001915,,KMXK0C05050,
OG0001927,,KMXK0C05200,
OG0001972,,KMXK0C05870,
OG0001994,,KMXK0C06240,
OG0001997,YLR355C,,
OG0001998,YLR354C,,
OG0002004,,,YALI1_D17666g
OG0002039,YER043C,,
OG0002076,YGL001C,,
OG0002119,,KMXK0D01140,
OG0002125,,KMXK0D01220,
OG0002127,,KMXK0D01260,
OG0002156,,KMXK0D01720,
OG0002164,,KMXK0D01880,
OG0002219,YJR016C,,
OG0002358,,KMXK0D05150,
OG0002378,YKL182W,KMXK0D05520,
OG0002441,,KMXK0E00150,
OG0002508,YDR212W,,
OG0002547,,KMXK0E02060,
OG0002626,YMR189W,,
OG0002688,,KMXK0E04320,
OG0002753,,KMXK0E05330,
OG0002848,,KMXK0F00730,
OG0002873,YML126C,,
OG0002880,,KMXK0F01270,
OG0002915,YDR248C,,
OG0002983,YOL064C,,
OG0003041,YMR062C,,
OG0003221,,KMXK0G01390,
OG0003293,,KMXK0G02530,
OG0003328,,KMXK0G03090,
OG0003330,,KMXK0G03120,
OG0003354,YER091C,KMXK0G03550,
OG0003376,YOL140W,,
OG0003530,YPL231W,KMXK0H02200,
OG0003581,YPR128C,,
OG0003614,,KMXK0H03480,
OG0003628,YHR071W,,
OG0003637,,,YALI1_C24891g
OG0003640,,KMXK0H03900,
