OG,cpk,kma,yli
OG0000824,CENPK1137D_933,,
OG0000870,,KMXK0A03950,
OG0000912,,,YALI1_F15769g
OG0000926,,KMXK0A05070,
OG0001376,CENPK1137D_5241,,
OG0001477,,KMXK0B06260,
OG0001484,CENPK1137D_2752,,
OG0001646,,KMXK0C00790,
OG0001803,,KMXK0C03480,
OG0001849,,KMXK0C04230,
OG0001974,,,YALI1_A02365g
OG0001979,,KMXK0C06270,
OG0002043,CENPK1137D_1111,KMXK0C07260,
OG0002207,,KMXK0D02940,
OG0002233,,KMXK0D03410,
OG0002265,,KMXK0D04010,
OG0002283,,KMXK0D04300,
OG0002363,,KMXK0D05590,
OG0002442,,KMXK0E00610,
OG0002446,,KMXK0E00700,
OG0002457,,KMXK0E00880,
OG0002642,,KMXK0E04050,
OG0002674,,KMXK0E04600,
OG0002688,,KMXK0E04790,
OG0002698,,KMXK0E04920,
OG0002712,,,YALI1_B12966g
OG0002790,CENPK1137D_4855,,
OG0002810,,KMXK0F00530,
OG0002811,,KMXK0F00540,
OG0002946,,KMXK0F02810,YALI1_B16087g
OG0002967,,,YALI1_C15465g
OG0003013,,KMXK0F03920,
OG0003063,,KMXK0F04730,
OG0003079,CENPK1137D_1525,,
OG0003092,CENPK1137D_3192,,
OG0003186,,KMXK0G01370,
OG0003198,,KMXK0G01500,
OG0003204,CENPK1137D_2636,,
OG0003251,CENPK1137D_2119,,
OG0003279,,KMXK0G02800,
OG0003464,,KMXK0H01780,
