# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "GENE" "-a" "Users/doughty/Desktop/Omics_Paper/CenPKGFF/Cen.PK113_7D.gff3" "-o" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/Cen.PKpaired_STAR.txt" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam
CENPK1137D_4927	ENA|CM001522|CM001522.1	31625	32998	+	1374	596	598	574	2874	3157	2993	459	520	405	1076	1111	1132	932	1144	895	1273	1163	1288
CENPK1137D_4938	ENA|CM001522|CM001522.1	33506	34759	+	1254	763	669	628	4219	5455	5481	1922	1660	1762	2284	2220	1861	3671	4041	4127	1547	2268	2378
CENPK1137D_4949	ENA|CM001522|CM001522.1	35211	36359	+	1149	2303	2028	2087	5670	6634	7041	1906	2564	2285	1752	1792	2335	6484	7489	6427	1802	1341	1573
CENPK1137D_4960	ENA|CM001522|CM001522.1	36565	37203	+	639	455	430	452	1160	744	873	542	404	326	481	476	316	913	947	787	408	347	400
CENPK1137D_4971	ENA|CM001522|CM001522.1	37520	39028	+	1509	331	303	288	773	789	847	322	334	301	338	336	277	701	787	699	284	259	267
CENPK1137D_4982	ENA|CM001522|CM001522.1	39315	41957	+	2643	631	659	640	1928	2274	2104	819	861	835	786	950	840	1953	2101	2036	685	597	646
CENPK1137D_4993	ENA|CM001522|CM001522.1	42233	42775	+	543	127	133	140	388	409	417	421	213	213	433	362	234	421	432	391	199	307	322
CENPK1137D_4997	ENA|CM001522|CM001522.1	42935	45076	-	2142	14600	14348	13964	35243	51289	42295	16641	20551	22231	22154	25427	25957	44700	48457	50089	14282	15587	13763
CENPK1137D_4998	ENA|CM001522|CM001522.1	45955	48306	+	2352	1644	1515	1490	6120	6004	5905	2991	2508	2566	2846	2922	2460	6645	6517	6500	2165	2228	2130
CENPK1137D_4928	ENA|CM001522|CM001522.1	48620	51763	+	3144	740	712	733	1382	1409	1471	731	634	578	865	822	660	1375	1594	1409	501	591	601
CENPK1137D_4929	ENA|CM001522|CM001522.1	51911	52651	-	741	449	446	402	2586	2981	2917	1077	996	993	1283	1176	1134	2535	2610	2497	895	925	904
CENPK1137D_4930	ENA|CM001522|CM001522.1	52857	54845	-	1989	393	341	388	1088	1249	1186	617	470	500	718	561	494	1252	1376	1348	394	464	452
CENPK1137D_4931	ENA|CM001522|CM001522.1	55045	56913	-	1869	281	241	239	597	644	606	288	277	274	354	342	298	626	628	586	254	241	236
CENPK1137D_4932	ENA|CM001522|CM001522.1	57085	57441	-	357	432	417	396	701	693	708	216	307	274	270	242	327	721	708	729	270	179	201
CENPK1137D_4933	ENA|CM001522|CM001522.1	57574	57906	+	333	450	371	427	1161	1311	1170	509	416	403	532	477	413	1166	1145	1134	378	462	419
CENPK1137D_4934	ENA|CM001522|CM001522.1	58006	58518	-	513	1606	1322	1283	4906	4433	4536	2770	2028	2068	2115	1986	1547	5004	4990	4926	1887	1798	2070
CENPK1137D_4935	ENA|CM001522|CM001522.1	58751	61108	-	2358	787	812	839	1195	1270	1117	898	698	685	1012	911	757	1259	1294	1223	664	768	749
CENPK1137D_4936	ENA|CM001522|CM001522.1	61372	62619	+	1248	1892	1706	1643	3948	4039	3921	1994	1674	1673	1824	1693	1344	4017	3858	3814	1539	1644	1654
CENPK1137D_4937	ENA|CM001522|CM001522.1	62896	65460	+	2565	879	934	898	1839	1807	1907	1051	801	749	1249	1237	810	1841	2027	1789	730	838	860
CENPK1137D_4939	ENA|CM001522|CM001522.1	65840	67582	-	1743	813	775	717	1376	1370	1377	881	493	569	874	798	589	1058	1193	1178	599	807	870
CENPK1137D_4940	ENA|CM001522|CM001522.1	68777	69586	-	810	562	490	528	1646	1866	1628	931	772	757	1419	1338	976	1532	1519	1482	791	910	952
CENPK1137D_4941	ENA|CM001522|CM001522.1	71876	73378	+	1503	12425	11711	10865	38721	48925	38800	22808	18345	18359	20720	18485	16269	44626	43115	43591	15434	21121	18812
CENPK1137D_4942	ENA|CM001522|CM001522.1	74110	74913	+	804	116	117	103	372	397	440	139	125	130	274	227	197	303	312	325	139	137	154
